PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"An unidentified error has occurred. You may obtain additional information about this error by contacting Bing Ads Support.",,"Une erreur non identifiée est survenue. Vous pouvez obtenir des informations supplémentaires relatives à cette erreur en contactant le support Bing Ads.",,"Text",,"All",,"Bing Ads",,""
"The request message is null.",,"Le message de la requête est vide.",,"Text",,"All",,"Bing Ads",,""
"The provided user name and password could not be validated.",,"Le nom d’utilisateur et le mot de passe fournis n’ont pas pu être validés.",,"Text",,"All",,"Bing Ads",,""
"The specified user is not authorized to use the API.",,"L’utilisateur spécifié n’est pas autorisé à utiliser l’API.",,"Text",,"All",,"Bing Ads",,""
"There is not enough quota available for the authorized developer.",,"Le quota disponible est insuffisant pour le développeur autorisé.",,"Text",,"All",,"Bing Ads",,""
"The date specified in the request is not valid.",,"La date spécifiée dans la demande n’est pas valide.",,"Text",,"All",,"Bing Ads",,""
"One or more required header elements are missing from the request.",,"Un ou plusieurs éléments de titre requis sont manquants dans la demande.",,"Text",,"All",,"Bing Ads",,""
"One or more input elements failed validation.",,"Échec de la validation pour un ou plusieurs éléments entrés.",,"Text",,"All",,"Bing Ads",,""
"The operation cannot be completed.",,"L’opération ne peut pas être terminée.",,"Text",,"All",,"Bing Ads",,""
"The parameter cannot be null.",,"Le paramètre ne peut pas être Null.",,"Text",,"All",,"Bing Ads",,""
"The operation is not supported.",,"L’opération n’est pas prise en charge.",,"Text",,"All",,"Bing Ads",,""
"The specified version is not valid.",,"La version spécifiée n’est pas valide.",,"Text",,"All",,"Bing Ads",,""
