PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Activate SMS alerts",,"Activer les alertes SMS",,"Text",,"All",,"Commerce Server",,""
"Your Skype credit is",,"Votre crédit Skype s'élève à",,"Text",,"All",,"Commerce Server",,""
"Add your home phone number so friends will have more ways to contact you",,"Ajoutez votre numéro de téléphone fixe pour que vos amis puissent vous joindre plus facilement",,"Text",,"All",,"Commerce Server",,""
"Add your mobile number so friends will have more ways to contact you",,"Ajoutez votre numéro de téléphone mobile pour que vos amis puissent vous joindre plus facilement",,"Text",,"All",,"Commerce Server",,""
"Add your office phone number so friends will have more ways to contact you",,"Ajoutez votre numéro de téléphone professionnel pour que vos amis puissent vous joindre plus facilement",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 1",,"Retour à la note 1",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 2",,"Retour à la note 2",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 3",,"Retour à la note 3",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 4",,"Retour à la note 4",,"Text",,"All",,"Commerce Server",,""
"Delete phone number: {NUMBER}",,"Supprimer le numéro de téléphone {NUMBER} ?",,"Text",,"All",,"Commerce Server",,""
"No, don't delete number {NUMBER}",,"Non, ne pas supprimer le numéro {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Yes, delete number {NUMBER}",,"Oui, supprimer le numéro {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Cancel and return to account overview page",,"Annuler et retourner à la page de présentation du compte",,"Text",,"All",,"Commerce Server",,""
"Cancel {PACKAGE_NAME} subscription",,"Annuler l'abonnement à {PACKAGE_NAME}",,"Text",,"All",,"Commerce Server",,""
"Reset or change Facebook password",,"Réinitialiser ou modifier le mot de passe Facebook",,"Text",,"All",,"Commerce Server",,""
"Reset or change Microsoft password",,"Réinitialiser ou modifier le mot de passe Microsoft",,"Text",,"All",,"Commerce Server",,""
"Change Skype password",,"Modifier le mot de passe Skype",,"Text",,"All",,"Commerce Server",,""
"Number to show when I call phones",,"Numéro à afficher lorsque j'appelle des téléphones",,"Text",,"All",,"Commerce Server",,""
"Verification code",,"Code de vérification",,"Text",,"All",,"Commerce Server",,""
"Close pop-up",,"Fermer la fenêtre contextuelle",,"Text",,"All",,"Commerce Server",,""
"Country/region",,"Pays/région",,"Text",,"All",,"Commerce Server",,""
"Country/region or Skype Name",,"Pays/région ou pseudo Skype",,"Text",,"All",,"Commerce Server",,""
"Delete number {number}",,"Supprimer le numéro {number}",,"Text",,"All",,"Commerce Server",,""
