PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Maltese",,"Maltais",,"Text",,"All",,"Office Online Group",,""
"whiteboards",,"tableaux blancs",,"Text",,"All",,"Office Online Group",,""
"Converting your file so you can edit it...",,"Nous convertissons votre fichier à des fins de modification... Merci de patienter.",,"Text",,"All",,"Office Online Group",,""
"Sorry, we can't save the copy",,"Désolé... Nous ne pouvons pas enregistrer la copie",,"Text",,"All",,"Office Online Group",,""
"Upload Add-ins",,"Charger des compléments",,"Text",,"All",,"Office Online Group",,""
"T",,"T",,"Text",,"All",,"Office Online Group",,""
"new moon face",,"visage en forme de nouvelle lune",,"Text",,"All",,"Office Online Group",,""
"prince",,"prince",,"Text",,"All",,"Office Online Group",,""
"bold",,"bold",,"Text",,"All",,"Office Online Group",,""
"Spanish (Bolivia)",,"Espagnol (Bolivie)",,"Text",,"All",,"Office Online Group",,""
"bouquet",,"bouquet",,"Text",,"All",,"Office Online Group",,""
"SZ",,"KA",,"Text",,"All",,"Office Online Group",,""
"Discover Word designed for Android.",,"Découvrez Word, conçu pour Android.",,"Text",,"All",,"Office Online Group",,""
"Mapudungun",,"Mapudungun",,"Text",,"All",,"Office Online Group",,""
"B",,"B",,"Text",,"All",,"Office Online Group",,""
"unicorn face",,"visage de licorne",,"Text",,"All",,"Office Online Group",,""
"shrimp",,"crevette",,"Text",,"All",,"Office Online Group",,""
"curry rice",,"riz au curry",,"Text",,"All",,"Office Online Group",,""
"ON! arrow",,"flèche sur",,"Text",,"All",,"Office Online Group",,""
"high-speed train",,"train à grande vitesse",,"Text",,"All",,"Office Online Group",,""
"custard",,"crème renversée",,"Text",,"All",,"Office Online Group",,""
"R",,"R",,"Text",,"All",,"Office Online Group",,""
"X",,"V",,"Text",,"All",,"Office Online Group",,""
"JT",,"JT",,"Text",,"All",,"Office Online Group",,""
"factory",,"usine",,"Text",,"All",,"Office Online Group",,""
"Saved to {0}",,"Enregistré dans {0}",,"Text",,"All",,"Office Online Group",,""
"Answer with IM",,"Répondre avec un message instantané",,"Text",,"All",,"Office Online Group",,""
"Tab for comment actions",,"Onglet pour les actions liées aux commentaires",,"Text",,"All",,"Office Online Group",,""
"grimacing face",,"visage grimaçant",,"Text",,"All",,"Office Online Group",,""
"blossom",,"bourgeon",,"Text",,"All",,"Office Online Group",,""
"baby symbol",,"symbole bébé",,"Text",,"All",,"Office Online Group",,""
"face with open mouth & cold sweat",,"visage en sueur bouche ouverte",,"Text",,"All",,"Office Online Group",,""
"goal net",,"but",,"Text",,"All",,"Office Online Group",,""
"Q",,"Q",,"Text",,"All",,"Office Online Group",,""
"R",,"F",,"Text",,"All",,"Office Online Group",,""
"aerial tramway",,"tramway aérien",,"Text",,"All",,"Office Online Group",,""
"stuffed flatbread",,"kebab",,"Text",,"All",,"Office Online Group",,""
"leopard",,"léopard",,"Text",,"All",,"Office Online Group",,""
"pistol",,"pistolet",,"Text",,"All",,"Office Online Group",,""
"fast-forward button",,"touche d’avance rapide",,"Text",,"All",,"Office Online Group",,""
"P",,"P",,"Text",,"All",,"Office Online Group",,""
"Sorry, we can't open this {doctype} because there was a problem talking to the service. Check your network connection and try again.",,"Désolé... Nous ne pouvons pas ouvrir ce {doctype}, car le programme rencontre des problèmes pour communiquer avec le service. Merci de vérifier votre connexion réseau et de réessayer.",,"Text",,"All",,"Office Online Group",,""
"Print your document from the preview window below.",,"Imprimez votre document à partir de la fenêtre d’aperçu ci-dessous.",,"Text",,"All",,"Office Online Group",,""
"C",,"C",,"Text",,"All",,"Office Online Group",,""
"AP",,"CP",,"Text",,"All",,"Office Online Group",,""
"All done. You can close the tab now.",,"Nous avons terminé. Vous pouvez désormais fermer l’onglet.",,"Text",,"All",,"Office Online Group",,""
"Belarusian",,"Bélarusse",,"Text",,"All",,"Office Online Group",,""
"Spanish (Paraguay)",,"Espagnol (Paraguay)",,"Text",,"All",,"Office Online Group",,""
"Preview",,"Aperçu",,"Text",,"All",,"Office Online Group",,""
"We couldn't SaveAs your file. Please try again.",,"Nous n’avons pas pu enregistrer votre fichier. Veuillez réessayer.",,"Text",,"All",,"Office Online Group",,""
"Yoruba",,"Yorouba",,"Text",,"All",,"Office Online Group",,""
"We're loading your add-ins. We'll let you know when they’re ready.",,"Nous chargeons vos compléments. Nous vous tiendrons informé lorsqu’ils seront prêts.",,"Text",,"All",,"Office Online Group",,""
"face sick",,"visage malade",,"Text",,"All",,"Office Online Group",,""
"person getting haircut",,"personne qui se fait couper les cheveux",,"Text",,"All",,"Office Online Group",,""
"cross mark",,"croix rouge",,"Text",,"All",,"Office Online Group",,""
"cherry blossom",,"fleur de cerisier",,"Text",,"All",,"Office Online Group",,""
"{0} is also editing",,"{0} modifie également",,"Text",,"All",,"Office Online Group",,""
"G",,"HU",,"Text",,"All",,"Office Online Group",,""
"Build",,"Build",,"Text",,"All",,"Office Online Group",,""
"house",,"maison",,"Text",,"All",,"Office Online Group",,""
"bread",,"pain",,"Text",,"All",,"Office Online Group",,""
"objects",,"objets",,"Text",,"All",,"Office Online Group",,""
"The Accessibility Checker inspected your document for all issues that can be fixed in the browser. For a complete inspection, open your document in the desktop app.",,"Le vérificateur d’accessibilité a recherché dans votre document les problèmes pouvant être résolus dans le navigateur. Pour effectuer une inspection complète, ouvrez votre document dans l’application de bureau.",,"Text",,"All",,"Office Online Group",,""
"left-pointing magnifying glass",,"loupe pointant vers la gauche",,"Text",,"All",,"Office Online Group",,""
"candy",,"bonbon",,"Text",,"All",,"Office Online Group",,""
"money",,"devises",,"Text",,"All",,"Office Online Group",,""
"Serbian",,"Serbe",,"Text",,"All",,"Office Online Group",,""
"P",,"M",,"Text",,"All",,"Office Online Group",,""
"Resume editing here",,"Reprendre la modification ici",,"Text",,"All",,"Office Online Group",,""
"E",,"N",,"Text",,"All",,"Office Online Group",,""
"Z",,"N",,"Text",,"All",,"Office Online Group",,""
"We are currently experiencing technical difficulties.",,"Nous rencontrons actuellement des problèmes techniques.",,"Text",,"All",,"Office Online Group",,""
"blowfish",,"poisson-lune",,"Text",,"All",,"Office Online Group",,""
"I",,"EO",,"Text",,"All",,"Office Online Group",,""
"This Add-In is about to create a new document in your default folder on your current cloud repository.",,"Ce complément est sur le point de créer un document dans le dossier par défaut de votre référentiel cloud actuel.",,"Text",,"All",,"Office Online Group",,""
"AR",,"WL",,"Text",,"All",,"Office Online Group",,""
"Read more about making documents accessible",,"En savoir plus sur l’accessibilité des documents",,"Text",,"All",,"Office Online Group",,""
"This content has been changed or deleted since the Accessibility Checker was last run. We'll recheck your document for accessibility issues.",,"Ce contenu a été modifié ou supprimé depuis la dernière exécution du vérificateur d’accessibilité. Nous allons vérifier de nouveau les problèmes d’accessibilité dans votre document.",,"Text",,"All",,"Office Online Group",,""
"crossed flags",,"drapeaux japonais",,"Text",,"All",,"Office Online Group",,""
"ferris wheel",,"grande roue",,"Text",,"All",,"Office Online Group",,""
"dolphin",,"dauphin",,"Text",,"All",,"Office Online Group",,""
"KT",,"B",,"Text",,"All",,"Office Online Group",,""
"A",,"À",,"Text",,"All",,"Office Online Group",,""
"Konkani",,"Konkani",,"Text",,"All",,"Office Online Group",,""
"L",,"G",,"Text",,"All",,"Office Online Group",,""
"bathtub",,"baignoire",,"Text",,"All",,"Office Online Group",,""
"black heart",,"cœur noir",,"Text",,"All",,"Office Online Group",,""
"E",,"E",,"Text",,"All",,"Office Online Group",,""
"Tatar",,"Tatar",,"Text",,"All",,"Office Online Group",,""
"Tamazight",,"Tamazight",,"Text",,"All",,"Office Online Group",,""
"Document Embedding",,"Incorporation de document",,"Text",,"All",,"Office Online Group",,""
"watermelon",,"pastèque",,"Text",,"All",,"Office Online Group",,""
