PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Tab Order",,"Ordre de tabulation",,"None",,"All",,"Outlook Group",,""
"OK",,"OK",,"None",,"All",,"Outlook Group",,""
"Cancel",,"Annuler",,"None",,"All",,"Outlook Group",,""
"Move &Up",,"&Monter",,"None",,"All",,"Outlook Group",,""
"Move &Down",,"&Descendre",,"None",,"All",,"Outlook Group",,""
"&Tab Order:",,"Ordre de &tabulation :",,"None",,"All",,"Outlook Group",,""
"Customize Control",,"Personnaliser un contrôle",,"None",,"All",,"Outlook Group",,""
"&Load Picture...",,"&Charger une image...",,"None",,"All",,"Outlook Group",,""
"&Edit Picture...",,"Modifi&er une image...",,"None",,"All",,"Outlook Group",,""
"Preview",,"Aperçu",,"None",,"All",,"Outlook Group",,""
"&Tool Tip Text:",,"Texte de l'inf&o-bulle :",,"None",,"All",,"Outlook Group",,""
"Additional Controls",,"Contrôles supplémentaires",,"None",,"All",,"Outlook Group",,""
"Show",,"Afficher",,"None",,"All",,"Outlook Group",,""
"&Selected Items Only",,"Éléments &sélectionnés seulement",,"None",,"All",,"Outlook Group",,""
"Name",,"Nom",,"None",,"All",,"Outlook Group",,""
"&Available Controls:",,"Contrôles &disponibles :",,"None",,"All",,"Outlook Group",,""
"Location",,"Emplacement",,"None",,"All",,"Outlook Group",,""
"Path",,"Chemin d'accès",,"None",,"All",,"Outlook Group",,""
"Rename",,"Renommer",,"None",,"All",,"Outlook Group",,""
"&Caption:",,"&Légende :",,"None",,"All",,"Outlook Group",,""
"&Accelerator Key:",,"&Touche d'accès rapide :",,"None",,"All",,"Outlook Group",,""
"Control &Tip Text:",,"&Info-bulle du contrôle :",,"None",,"All",,"Outlook Group",,""
"Properties",,"Propriétés",,"None",,"All",,"Outlook Group",,""
"&Apply",,"App&liquer",,"None",,"All",,"Outlook Group",,""
"Additional Controls...",,"Contrôles supplémentaires...",,"None",,"All",,"Outlook Group",,""
"Delete Item",,"Supprimer un élément",,"None",,"All",,"Outlook Group",,""
"Customize Item...",,"Personnaliser un élément...",,"None",,"All",,"Outlook Group",,""
"Insert",,"Insérer",,"None",,"All",,"Outlook Group",,""
"Delete",,"Supprimer",,"None",,"All",,"Outlook Group",,""
"Rename...",,"Renommer...",,"None",,"All",,"Outlook Group",,""
"Move...",,"Déplacer...",,"None",,"All",,"Outlook Group",,""
"New Page",,"Nouvelle page",,"None",,"All",,"Outlook Group",,""
"Delete Page",,"Supprimer page",,"None",,"All",,"Outlook Group",,""
"Import Page...",,"Importer la page...",,"None",,"All",,"Outlook Group",,""
"Export Page...",,"Exporter la page...",,"None",,"All",,"Outlook Group",,""
"What's This?",,"Qu'est-ce que c'est ?",,"None",,"All",,"Outlook Group",,""
"Bottoms",,"Bas",,"None",,"All",,"Outlook Group",,""
"Centers",,"Centré",,"None",,"All",,"Outlook Group",,""
"Lefts",,"Gauche",,"None",,"All",,"Outlook Group",,""
"Rights",,"Droite",,"None",,"All",,"Outlook Group",,""
"to Grid",,"Grille",,"None",,"All",,"Outlook Group",,""
"Tops",,"Sommet",,"None",,"All",,"Outlook Group",,""
"Middles",,"Milieu",,"None",,"All",,"Outlook Group",,""
"Bottom",,"En bas",,"None",,"All",,"Outlook Group",,""
"Right",,"À droite",,"None",,"All",,"Outlook Group",,""
"Bring Forward",,"Amener vers l'avant",,"None",,"All",,"Outlook Group",,""
"Bring to Front",,"Mettre au premier plan",,"None",,"All",,"Outlook Group",,""
"Horizontal",,"Horizontalement",,"None",,"All",,"Outlook Group",,""
"Vertical",,"Verticalement",,"None",,"All",,"Outlook Group",,""
"View Code...",,"Afficher le code...",,"None",,"All",,"Outlook Group",,""
"Copy",,"Copier",,"None",,"All",,"Outlook Group",,""
"Cut",,"Couper",,"None",,"All",,"Outlook Group",,""
"Group",,"Grouper",,"None",,"All",,"Outlook Group",,""
"Remove",,"Supprimer",,"None",,"All",,"Outlook Group",,""
"Decrease",,"Diminuer",,"None",,"All",,"Outlook Group",,""
"Increase",,"Augmenter",,"None",,"All",,"Outlook Group",,""
"Make Equal",,"Égaliser",,"None",,"All",,"Outlook Group",,""
"Insert Object...",,"Insérer un objet...",,"None",,"All",,"Outlook Group",,""
"Paste",,"Coller",,"None",,"All",,"Outlook Group",,""
"Properties...",,"Propriétés...",,"None",,"All",,"Outlook Group",,""
"Redo",,"Rétablir",,"None",,"All",,"Outlook Group",,""
"Select All",,"Sélectionner tout",,"None",,"All",,"Outlook Group",,""
"Send Backward",,"Envoyer vers l'arrière",,"None",,"All",,"Outlook Group",,""
"Send to Back",,"Mettre à l'arrière-plan",,"None",,"All",,"Outlook Group",,""
"Both",,"Les deux",,"None",,"All",,"Outlook Group",,""
"Height",,"Hauteur",,"None",,"All",,"Outlook Group",,""
"Width",,"Largeur",,"None",,"All",,"Outlook Group",,""
"Size to Fit",,"Ajuster la taille",,"None",,"All",,"Outlook Group",,""
"Size to Grid",,"Ajuster à la grille",,"None",,"All",,"Outlook Group",,""
"Snap to Grid",,"Aligner sur la grille",,"None",,"All",,"Outlook Group",,""
"Toolbox...",,"Boîte à outils...",,"None",,"All",,"Outlook Group",,""
"Undo",,"Annuler",,"None",,"All",,"Outlook Group",,""
"Show Grid",,"Afficher la grille",,"None",,"All",,"Outlook Group",,""
"Font...",,"Police...",,"None",,"All",,"Outlook Group",,""
"Run Dialog",,"Afficher la boîte de dialogue",,"None",,"All",,"Outlook Group",,""
"Embedding",,"Incorporation",,"None",,"All",,"Outlook Group",,""
"Align",,"Alignement",,"None",,"All",,"Outlook Group",,""
"Make Same Size",,"Rendre les dimensions identiques",,"None",,"All",,"Outlook Group",,""
"Horizontal Spacing",,"Espacement horizontal",,"None",,"All",,"Outlook Group",,""
"Vertical Spacing",,"Espacement vertical",,"None",,"All",,"Outlook Group",,""
"Center in Form",,"Centrer dans la feuille",,"None",,"All",,"Outlook Group",,""
"Arrange Buttons",,"Réorganiser les boutons",,"None",,"All",,"Outlook Group",,""
"Form",,"Feuille",,"None",,"All",,"Outlook Group",,""
"Copy Here",,"Copier ici",,"None",,"All",,"Outlook Group",,""
"Move Here",,"Déplacer ici",,"None",,"All",,"Outlook Group",,""
"Drag",,"Glisser",,"None",,"All",,"Outlook Group",,""
"Frame",,"Cadre",,"None",,"All",,"Outlook Group",,""
"Image",,"Image",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms 2.0 CommandButton",,"Bouton de commande Microsoft Forms 2.0",,"None",,"All",,"Outlook Group",,""
"CommandButton",,"Bouton de commande",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms 2.0 ControlSelector",,"Sélecteur de contrôle Microsoft Forms 2.0",,"None",,"All",,"Outlook Group",,""
"ControlSelector",,"Sélecteur de contrôle",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms 2.0 ScrollBar",,"Barre de défilement Microsoft Forms 2.0",,"None",,"All",,"Outlook Group",,""
"ScrollBar",,"Barre de défilement",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms 2.0 TabStrip",,"Microsoft Forms 2.0 TabStrip",,"None",,"All",,"Outlook Group",,""
"TabStrip",,"Contrôle Onglet",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms 2.0 SpinButton",,"Microsoft Forms 2.0 SpinButton",,"None",,"All",,"Outlook Group",,""
"SpinButton",,"Toupie",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms 2.0 Label",,"Microsoft Forms 2.0 Label",,"None",,"All",,"Outlook Group",,""
"Label",,"Intitulé",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms 2.0 TextBox",,"Zone de texte Microsoft Forms 2.0",,"None",,"All",,"Outlook Group",,""
"TextBox",,"Zone de texte",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms 2.0 ListBox",,"Zone de liste Microsoft Forms",,"None",,"All",,"Outlook Group",,""
"ListBox",,"Zone de liste",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms 2.0 CheckBox",,"Case à cocher Microsoft Forms 2.0",,"None",,"All",,"Outlook Group",,""
"CheckBox",,"Case à cocher",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms 2.0 OptionButton",,"Bouton d'option Microsoft Forms 2.0",,"None",,"All",,"Outlook Group",,""
"OptionButton",,"Bouton d'option",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms 2.0 ToggleButton",,"Microsoft Forms 2.0 ToggleButton",,"None",,"All",,"Outlook Group",,""
"ToggleButton",,"Bouton bascule",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms 2.0 MultiPage",,"Microsoft Forms 2.0 MultiPage",,"None",,"All",,"Outlook Group",,""
"MultiPage",,"Multipage",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms 2.0 ComboBox",,"Microsoft Forms 2.0 ComboBox",,"None",,"All",,"Outlook Group",,""
"ComboBox",,"Zone de liste modifiable",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms 2.0 HTML Hidden",,"Microsoft Forms 2.0 HTML Hidden",,"None",,"All",,"Outlook Group",,""
"HTML:Hidden",,"HTML:Hidden",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms 2.0 HTML Password",,"Microsoft Forms 2.0 HTML Password",,"None",,"All",,"Outlook Group",,""
"HTML:Password",,"HTML:Password",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms 2.0 HTML TEXT",,"Microsoft Forms 2.0 HTML TEXT",,"None",,"All",,"Outlook Group",,""
"HTML:TEXT",,"HTML:TEXT",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms 2.0 HTML TextAREA",,"Microsoft Forms 2.0 HTML TextAREA",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms 2.0 HTML OPTION",,"Microsoft Forms 2.0 HTML OPTION",,"None",,"All",,"Outlook Group",,""
"HTML:OPTION",,"HTML:OPTION",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms 2.0 HTML CHECKBOX",,"Microsoft Forms 2.0 HTML CHECKBOX",,"None",,"All",,"Outlook Group",,""
"HTML:CHECKBOX",,"HTML:CHECKBOX",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms 2.0 HTML SELECT",,"Microsoft Forms 2.0 HTML SELECT",,"None",,"All",,"Outlook Group",,""
"HTML:SELECT",,"HTML:SELECT",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms 2.0 HTML RESET",,"Microsoft Forms 2.0 HTML RESET",,"None",,"All",,"Outlook Group",,""
"HTML:RESET",,"HTML:RESET",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms 2.0 HTML IMAGE",,"Microsoft Forms 2.0 HTML IMAGE",,"None",,"All",,"Outlook Group",,""
"HTML:IMAGE",,"HTML:IMAGE",,"None",,"All",,"Outlook Group",,""
"TRUE",,"TRUE",,"None",,"All",,"Outlook Group",,""
"FALSE",,"FALSE",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms 2.0 DummyObject",,"Microsoft Forms 2.0 DummyObject",,"None",,"All",,"Outlook Group",,""
"DummyObject",,"DummyObject",,"None",,"All",,"Outlook Group",,""
"IMAGE",,"IMAGE",,"None",,"All",,"Outlook Group",,""
"Tab",,"Tab",,"None",,"All",,"Outlook Group",,""
"HIDDEN",,"HIDDEN",,"None",,"All",,"Outlook Group",,""
"PASSWORD",,"PASSWORD",,"None",,"All",,"Outlook Group",,""
"TEXT",,"TEXT",,"None",,"All",,"Outlook Group",,""
"RADIO",,"RADIO",,"None",,"All",,"Outlook Group",,""
"CHECKBOX",,"CHECKBOX",,"None",,"All",,"Outlook Group",,""
"Submit",,"Envoyer",,"None",,"All",,"Outlook Group",,""
"S",,"S",,"None",,"All",,"Outlook Group",,""
"Post",,"Post",,"None",,"All",,"Outlook Group",,""
"Get",,"Get",,"None",,"All",,"Outlook Group",,""
"SUBMIT",,"SUBMIT",,"None",,"All",,"Outlook Group",,""
"Content-Type: ",,"Content-Type: ",,"None",,"All",,"Outlook Group",,""
"Reset",,"Réinitialiser",,"None",,"All",,"Outlook Group",,""
"Image submit",,"Image submit",,"None",,"All",,"Outlook Group",,""
"I",,"I",,"None",,"All",,"Outlook Group",,""
"out of memory",,"la mémoire est saturée",,"None",,"All",,"Outlook Group",,""
"The object indicates it has property pages but fails to specify them.",,"L'objet indique qu'il possède des pages de propriété mais ne peut les spécifier.",,"None",,"All",,"Outlook Group",,""
"The selected objects have no property pages in common.",,"Les objets sélectionnés n'ont pas de pages de propriété en commun.",,"None",,"All",,"Outlook Group",,""
"&Edit",,"&Edition",,"None",,"All",,"Outlook Group",,""
"&Properties...",,"&Propriétés...",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms 2.0",,"Microsoft Forms 2.0",,"None",,"All",,"Outlook Group",,""
"Microsoft Forms",,"Microsoft Forms",,"None",,"All",,"Outlook Group",,""
"Solution:\n<0s>",,"Solution:\n<0s>",,"None",,"All",,"Outlook Group",,""
"Could not complete the operation due to error <0x>.",,"Opération non terminée en raison de l'erreur <0x>.",,"None",,"All",,"Outlook Group",,""
"Could not set the <0s> property.",,"Impossible de définir la propriété <0s>.",,"None",,"All",,"Outlook Group",,""
"Could not get the <0s> property.",,"Impossible de lire la propriété <0s>.",,"None",,"All",,"Outlook Group",,""
"The value entered for the <0s> property is not valid.",,"La valeur entrée pour la propriété <0s> est incorrecte.",,"None",,"All",,"Outlook Group",,""
"The parent object is no longer available.",,"L'objet parent n'est plus disponible.",,"None",,"All",,"Outlook Group",,""
"Enter a value between <0d> and <1d>.",,"Entrez une valeur entre <0d> et <1d>.",,"None",,"All",,"Outlook Group",,""
"Enter a value greater than zero.",,"Entrez une valeur supérieure à zéro.",,"None",,"All",,"Outlook Group",,""
"Enter a value greater than or equal to zero.",,"Entrez une valeur supérieure ou égale à zéro.",,"None",,"All",,"Outlook Group",,""
"The object has changed. Do you want to update it?",,"L'objet a été modifié. Voulez-vous le mettre à jour?",,"None",,"All",,"Outlook Group",,""
"Could not find the specified object.",,"Objet spécifié introuvable.",,"None",,"All",,"Outlook Group",,""
"Could not load <0p/an/some/> object<0p//s/> because <0p/it is/they are/> not available on this machine.",,"Impossible de charger <0p/le/les/> objet<0p//s/> car <0p/il n'est/ils ne sont/> pas disponible<0p//s/> sur cette machine.",,"None",,"All",,"Outlook Group",,""
"Could not perform this operation because there is no selection.",,"Opération impossible car il n'y a pas de sélection.",,"None",,"All",,"Outlook Group",,""
"The picture type is not valid.",,"Le type d'image n'est pas valide.",,"None",,"All",,"Outlook Group",,""
"Control",,"Contrôle",,"None",,"All",,"Outlook Group",,""
"Control Properties",,"Propriétés du contrôle",,"None",,"All",,"Outlook Group",,""
"<0s> Properties",,"Propriétés de <0s> ",,"None",,"All",,"Outlook Group",,""
"New <0s>",,"Nouveau <0s>",,"None",,"All",,"Outlook Group",,""
"New Group",,"Nouveau groupe",,"None",,"All",,"Outlook Group",,""
"Could not cut the control<0p//s/>.",,"Impossible de couper <0p/le/les/> contrôle<0p//s/>.",,"None",,"All",,"Outlook Group",,""
"Could not copy the control<0p//s/>.",,"Impossible de copier <0p/le/les/> contrôle<0p//s/>.",,"None",,"All",,"Outlook Group",,""
"Could not paste the control.",,"Impossible de coller le contrôle.",,"None",,"All",,"Outlook Group",,""
"Could not insert the control.",,"Impossible d'insérer le contrôle.",,"None",,"All",,"Outlook Group",,""
"This is the find dialog.",,"Ceci est la boîte de dialogue Rechercher.",,"None",,"All",,"Outlook Group",,""
"8 MS Sans Serif",,"8 MS Sans Serif",,"None",,"All",,"Outlook Group",,""
"Could not open the file for writing.",,"Impossible d'ouvrir le fichier en écriture.",,"None",,"All",,"Outlook Group",,""
"in",,"pouces",,"None",,"All",,"Outlook Group",,""
"cm",,"cm",,"None",,"All",,"Outlook Group",,""
"pt",,"pt",,"None",,"All",,"Outlook Group",,""
"Undo <0s>",,"Annuler <0s>",,"None",,"All",,"Outlook Group",,""
"Redo <0s>",,"Répéter <0s>",,"None",,"All",,"Outlook Group",,""
"Can't Undo",,"Impossible d'annuler",,"None",,"All",,"Outlook Group",,""
"Can't Redo",,"Impossible de répéter",,"None",,"All",,"Outlook Group",,""
"Insert Object",,"Insérer un objet",,"None",,"All",,"Outlook Group",,""
"Delete Object",,"Supprimer un objet",,"None",,"All",,"Outlook Group",,""
"Property Change",,"Modification de propriété",,"None",,"All",,"Outlook Group",,""
"Move",,"Déplacer",,"None",,"All",,"Outlook Group",,""
"Resize",,"Redimensionner",,"None",,"All",,"Outlook Group",,""
"Drop",,"Déposer",,"None",,"All",,"Outlook Group",,""
"Alignment",,"Alignement",,"None",,"All",,"Outlook Group",,""
"Centering",,"Centré",,"None",,"All",,"Outlook Group",,""
"Size To",,"Dimensionner à",,"None",,"All",,"Outlook Group",,""
"Spacing",,"Espacement",,"None",,"All",,"Outlook Group",,""
