PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Alpine",,"Alpin",,"None",,"All",,"Publisher",,""
"Aqua",,"Aqua",,"None",,"All",,"Publisher",,""
"Berry",,"Baie",,"None",,"All",,"Publisher",,""
"Black & Gray",,"Noir & gris",,"None",,"All",,"Publisher",,""
"Brown",,"Brun",,"None",,"All",,"Publisher",,""
"Burgundy",,"Bordeaux",,"None",,"All",,"Publisher",,""
"Cavern",,"Caverne",,"None",,"All",,"Publisher",,""
"Citrus",,"Agrume",,"None",,"All",,"Publisher",,""
"Clay",,"Argile",,"None",,"All",,"Publisher",,""
"Cranberry",,"Airelle",,"None",,"All",,"Publisher",,""
"Crocus",,"Crocus",,"None",,"All",,"Publisher",,""
"Desert",,"Désert",,"None",,"All",,"Publisher",,""
"Field",,"Champ ",,"None",,"All",,"Publisher",,""
"Fjord",,"Fjord",,"None",,"All",,"Publisher",,""
"Floral",,"Floral",,"None",,"All",,"Publisher",,""
"Garnet",,"Grenat",,"None",,"All",,"Publisher",,""
"Glacier",,"Glacier",,"None",,"All",,"Publisher",,""
"Heather",,"Bruyère",,"None",,"All",,"Publisher",,""
"Iris",,"Iris",,"None",,"All",,"Publisher",,""
"Island",,"Île",,"None",,"All",,"Publisher",,""
