PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"contact info",,"info du contact",,"None",,"All",,"Skype - Mac",,""
"profile picture",,"image du profil",,"None",,"All",,"Skype - Mac",,""
"About",,"À propos de",,"None",,"All",,"Skype - Mac",,""
"Multiline Label",,"Multiline Label",,"None",,"All",,"Skype - Mac",,""
"Label",,"Label",,"None",,"All",,"Skype - Mac",,""
"mood message",,"Message d'humeur",,"None",,"All",,"Skype - Mac",,""
""Label - <a href=""http://apple.com"">Test</a>"",,""Label - <a href=""http://apple.com"">Test</a>"",,"None",,"All",,"Skype - Mac",,""
"Lists",,"Listes",,"None",,"All",,"Skype - Mac",,""
"Location",,"Localisation",,"None",,"All",,"Skype - Mac",,""
"Time",,"Heure",,"None",,"All",,"Skype - Mac",,""
"Homepage",,"Page Web",,"None",,"All",,"Skype - Mac",,""
"Gender",,"Sexe",,"None",,"All",,"Skype - Mac",,""
"Birthdate",,"Né(e) le",,"None",,"All",,"Skype - Mac",,""
"Language",,"Langue",,"None",,"All",,"Skype - Mac",,""
"Back",,"Précédent",,"None",,"All",,"Skype - Mac",,""
"Add Contact",,"Ajouter le contact",,"None",,"All",,"Skype - Mac",,""
"Copy",,"Copier",,"None",,"All",,"Skype - Mac",,""
"favorite",,"favori",,"None",,"All",,"Skype - Mac",,""
"Contacts",,"Contacts",,"None",,"All",,"Skype - Mac",,""
"Item 3",,"Item 3",,"None",,"All",,"Skype - Mac",,""
"Other",,"Autre",,"None",,"All",,"Skype - Mac",,""
"Box",,"Box",,"None",,"All",,"Skype - Mac",,""
"Item 2",,"Item 2",,"None",,"All",,"Skype - Mac",,""
"Skype Certified",,"Certifié Skype",,"None",,"All",,"Skype - Mac",,""
"Home",,"Domicile",,"None",,"All",,"Skype - Mac",,""
"Mobile",,"Mobile",,"None",,"All",,"Skype - Mac",,""
"Item 1",,"Item 1",,"None",,"All",,"Skype - Mac",,""
"Skype",,"Skype",,"None",,"All",,"Skype - Mac",,""
"Office",,"Bureau",,"None",,"All",,"Skype - Mac",,""
"Window",,"Window",,"None",,"All",,"Skype - Mac",,""
"Text Cell",,"Text Cell",,"None",,"All",,"Skype - Mac",,""
"Send Contacts",,"Envoyer des contacts",,"None",,"All",,"Skype - Mac",,""
"Add contacts you would like to send:",,"Ajouter les contacts à envoyer :",,"None",,"All",,"Skype - Mac",,""
"Send",,"Envoyer",,"None",,"All",,"Skype - Mac",,""
"Cancel",,"Annuler",,"None",,"All",,"Skype - Mac",,""
"Call",,"Appeler",,"None",,"All",,"Skype - Mac",,""
"Instant Message…",,"Envoyer un message instantané…",,"None",,"All",,"Skype - Mac",,""
"Send SMS…",,"Envoyer un SMS…",,"None",,"All",,"Skype - Mac",,""
"Send Photos and Files…",,"Envoyer des photos et des fichiers…",,"None",,"All",,"Skype - Mac",,""
"Send Contacts…",,"Envoyer des contacts…",,"None",,"All",,"Skype - Mac",,""
"Show Profile",,"Afficher le profil",,"None",,"All",,"Skype - Mac",,""
"Send Video Message…",,"Envoyer un message vidéo…",,"None",,"All",,"Skype - Mac",,""
"Send Files…",,"Envoyer des fichiers…",,"None",,"All",,"Skype - Mac",,""
"React to Message…",,"Réagir au message...",,"None",,"All",,"Skype - Mac",,""
"Last Message",,"Dernier message",,"None",,"All",,"Skype - Mac",,""
"Beginning",,"Au début",,"None",,"All",,"Skype - Mac",,""
"Quote Message",,"Citer le message",,"None",,"All",,"Skype - Mac",,""
"Add Image to Photos",,"Ajouter l’image aux photos",,"None",,"All",,"Skype - Mac",,""
"1 Week",,"1 semaine",,"None",,"All",,"Skype - Mac",,""
"Edit Message",,"Modifier le message",,"None",,"All",,"Skype - Mac",,""
"Remove Message",,"Supprimer le message",,"None",,"All",,"Skype - Mac",,""
"Show Location",,"Afficher l'emplacement",,"None",,"All",,"Skype - Mac",,""
"Jump Back",,"Revenir en arrière",,"None",,"All",,"Skype - Mac",,""
"Reload",,"Recharger",,"None",,"All",,"Skype - Mac",,""
"Quote Selection",,"Citer la sélection",,"None",,"All",,"Skype - Mac",,""
"Beginning",,"Début",,"None",,"All",,"Skype - Mac",,""
"NOTR Look Up %@",,"NOTR Look Up %@",,"None",,"All",,"Skype - Mac",,""
"Speech",,"Parole",,"None",,"All",,"Skype - Mac",,""
"Start Speaking",,"Commencer la lecture",,"None",,"All",,"Skype - Mac",,""
"Stop Speaking",,"Arrêter la lecture",,"None",,"All",,"Skype - Mac",,""
"1 Year",,"1 an en arrière",,"None",,"All",,"Skype - Mac",,""
"Share",,"Partager",,"None",,"All",,"Skype - Mac",,""
"Jump Back",,"Retourner",,"None",,"All",,"Skype - Mac",,""
"1 Week",,"1 semaine en arrière",,"None",,"All",,"Skype - Mac",,""
"1 Month",,"1 mois en arrière",,"None",,"All",,"Skype - Mac",,""
"3 Months",,"3 mois en arrière",,"None",,"All",,"Skype - Mac",,""
"6 Months",,"6 mois en arrière",,"None",,"All",,"Skype - Mac",,""
"3 Months",,"3 mois",,"None",,"All",,"Skype - Mac",,""
"Copy Image",,"Copier l'image",,"None",,"All",,"Skype - Mac",,""
"1 Day",,"1 jour",,"None",,"All",,"Skype - Mac",,""
"NOTR Search With %@",,"NOTR Search With %@",,"None",,"All",,"Skype - Mac",,""
"NOTR",,"NOTR",,"None",,"All",,"Skype - Mac",,""
"1 Month",,"1 mois",,"None",,"All",,"Skype - Mac",,""
"1 Year",,"1 an",,"None",,"All",,"Skype - Mac",,""
"Copy Map URL",,"Copier l'URL de Maps",,"None",,"All",,"Skype - Mac",,""
"Copy Location DD°MM’SS”",,"Copier le lieu DD°MM’SS”",,"None",,"All",,"Skype - Mac",,""
"1 Week",,"1 semaine en arrière",,"None",,"All",,"Skype - Mac",,""
"Get Directions",,"Obtenir un itinéraire",,"None",,"All",,"Skype - Mac",,""
"Copy Location",,"Copier l'emplacement",,"None",,"All",,"Skype - Mac",,""
"1 Day",,"1 jour en arrière",,"None",,"All",,"Skype - Mac",,""
"Copy Address",,"Copier l'adresse",,"None",,"All",,"Skype - Mac",,""
"Copy Image",,"Copier l’image",,"None",,"All",,"Skype - Mac",,""
"Open in Maps",,"Ouvrir dans Maps",,"None",,"All",,"Skype - Mac",,""
"Reveal in Finder",,"Afficher dans le Finder",,"None",,"All",,"Skype - Mac",,""
"Save Image As…",,"Enregistrer l’image sous…",,"None",,"All",,"Skype - Mac",,""
"Quick Look",,"Coup d'œil",,"None",,"All",,"Skype - Mac",,""
"Open",,"Ouvrir",,"None",,"All",,"Skype - Mac",,""
"Play",,"Lire",,"None",,"All",,"Skype - Mac",,""
"6 Months",,"6 mois",,"None",,"All",,"Skype - Mac",,""
"Use Image as Desktop Picture",,"Utiliser comme image de Bureau",,"None",,"All",,"Skype - Mac",,""
"1 Day",,"1 jour en arrière",,"None",,"All",,"Skype - Mac",,""
"SMS",,"SMS",,"None",,"All",,"Skype - Mac",,""
"A B C",,"A B C",,"None",,"All",,"Skype - Mac",,""
"D E F",,"D E F",,"None",,"All",,"Skype - Mac",,""
"G H I",,"G H I",,"None",,"All",,"Skype - Mac",,""
"J K L",,"J K L",,"None",,"All",,"Skype - Mac",,""
"M N O",,"M N O",,"None",,"All",,"Skype - Mac",,""
"P Q R S",,"P Q R S",,"None",,"All",,"Skype - Mac",,""
"T U V",,"T U V",,"None",,"All",,"Skype - Mac",,""
"W X Y Z",,"W X Y Z",,"None",,"All",,"Skype - Mac",,""
"star",,"étoile",,"None",,"All",,"Skype - Mac",,""
"hash",,"tiret",,"None",,"All",,"Skype - Mac",,""
"Save",,"Enregistrer",,"None",,"All",,"Skype - Mac",,""
"Edit Message: NOTR",,"Edit Message: NOTR",,"None",,"All",,"Skype - Mac",,""
"Panel",,"Panel",,"None",,"All",,"Skype - Mac",,""
"Edit Mood Message",,"Modifier le message d’humeur",,"None",,"All",,"Skype - Mac",,""
"Emergency Call NOTR",,"Emergency Call NOTR",,"None",,"All",,"Skype - Mac",,""
"It appears you are attempting to make an emergency call.\nPlease choose your country: NOTR",,"It appears you are attempting to make an emergency call.\nPlease choose your country: NOTR",,"None",,"All",,"Skype - Mac",,""
"OtherViews",,"OtherViews",,"None",,"All",,"Skype - Mac",,""
"Angel",,"Ange",,"None",,"All",,"Skype - Mac",,""
"Angry",,"Furax",,"None",,"All",,"Skype - Mac",,""
"Bandit",,"Bandit",,"None",,"All",,"Skype - Mac",,""
"Beer",,"Bière",,"None",,"All",,"Skype - Mac",,""
"Big smile",,"Grand sourire",,"None",,"All",,"Skype - Mac",,""
"Blushing",,"Rougissant",,"None",,"All",,"Skype - Mac",,""
"Bowing",,"Salut",,"None",,"All",,"Skype - Mac",,""
