PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Open the more menu",,"Ouvrir le menu plus",,"None",,"All",,"Skype - iOS",,""
"More menu",,"Menu plus",,"None",,"All",,"Skype - iOS",,""
"Cancel",,"Annuler",,"None",,"All",,"Skype - iOS",,""
"Recent calls and messages will appear here.",,"Les appels et messages récents apparaissent ici.",,"None",,"All",,"Skype - iOS",,""
"Search",,"Recherche",,"None",,"All",,"Skype - iOS",,""
"Hide options",,"Masquer les Options",,"None",,"All",,"Skype - iOS",,""
"Show options",,"Afficher les options",,"None",,"All",,"Skype - iOS",,""
"Done",,"Terminé",,"None",,"All",,"Skype - iOS",,""
"%lu %@ %lu",,"%lu %@ %lu",,"None",,"All",,"Skype - iOS",,""
"Copied",,"Copié",,"None",,"All",,"Skype - iOS",,""
"Copying",,"Copie",,"None",,"All",,"Skype - iOS",,""
"Failed",,"Échec",,"None",,"All",,"Skype - iOS",,""
"Preparing",,"Préparation",,"None",,"All",,"Skype - iOS",,""
"Saved",,"Enregistré",,"None",,"All",,"Skype - iOS",,""
"Saving",,"Enregistrement",,"None",,"All",,"Skype - iOS",,""
"Search Giphy",,"Rechercher dans Giphy",,"None",,"All",,"Skype - iOS",,""
"& %d others",,"et %d autres",,"None",,"All",,"Skype - iOS",,""
"%1$d out of %2$d selected",,"%1$d sélectionné(s) sur %2$d",,"None",,"All",,"Skype - iOS",,""
"& %d others",,"et %d autre",,"None",,"All",,"Skype - iOS",,""
"Skype version",,"Version de Skype",,"None",,"All",,"Skype - iOS",,""
"© 2003-2017 Skype & Microsoft\nPatent Pending",,"© 2003-2017 Skype & Microsoft\nBrevet en instance",,"None",,"All",,"Skype - iOS",,""
"The Skype name, associated trade marks and logos and the “S” logo are trade marks of Skype or related entities.\n\nWarning: This program is protected by copyright law and international treaties. Unauthorized reproduction or distribution of this program, or any portion of it, may result in severe criminal and civil penalties and will be prosecuted to the maximum extent possible under the law.",,"Le nom Skype, les marques commerciales et les logos associés, ainsi que le symbole « S » sont des marques commerciales de Skype ou d’entités associées.\n\nAttention : Ce programme est protégé par les lois et traités internationaux sur le copyright. Toute reproduction ou distribution non autorisée de ce programme, en tout ou partie, est passible de lourdes sanctions civiles et pénales, et sera poursuivie dans toute la mesure permise par la loi.",,"None",,"All",,"Skype - iOS",,""
"Privacy Policy",,"Politique de confidentialité",,"None",,"All",,"Skype - iOS",,""
"About",,"À propos de",,"None",,"All",,"Skype - iOS",,""
"Terms of Use",,"Conditions d'utilisation",,"None",,"All",,"Skype - iOS",,""
"Third party notices",,"Avis de tiers",,"None",,"All",,"Skype - iOS",,""
"Skype needs access to Contacts to display address book contacts. Go to Settings and enable Contacts to allow access.",,"Pour que Skype puisse afficher les contacts de votre carnet d'adresses, vous devez lui permettre d'y accéder en activant l'option Contacts dans les Réglages.",,"None",,"All",,"Skype - iOS",,""
"Your address book is empty",,"Votre carnet d'adresses est vide",,"None",,"All",,"Skype - iOS",,""
"Loading address book contacts...",,"Chargement des contacts du carnet d'adresses...",,"None",,"All",,"Skype - iOS",,""
"No results found for %@",,"Aucun résultat pour %@",,"None",,"All",,"Skype - iOS",,""
"Search address book",,"Rechercher dans le carnet d'adresses",,"None",,"All",,"Skype - iOS",,""
"Address book",,"Carnet d'adresses",,"None",,"All",,"Skype - iOS",,""
"Invite to Skype",,"Inviter sur Skype",,"None",,"All",,"Skype - iOS",,""
"To invite friends via email, set up your mail account in device settings first.",,"Pour inviter des amis par e-mail, vous devez d'abord configurer votre compte de messagerie dans les paramètres de votre appareil.",,"None",,"All",,"Skype - iOS",,""
"No mail account found",,"Aucun compte de messagerie n'a été trouvé.",,"None",,"All",,"Skype - iOS",,""
"To invite friends via SMS, check your SIM card is inserted properly and try again.",,"Pour inviter des amis via SMS, vérifiez que votre carte SIM est correctement insérée. puis réessayez.",,"None",,"All",,"Skype - iOS",,""
"No SIM card found",,"Carte SIM introuvable",,"None",,"All",,"Skype - iOS",,""
"Standard SMS rates may apply",,"Les tarifs SMS standard peuvent s'appliquer",,"None",,"All",,"Skype - iOS",,""
"Via email",,"Par e-mail",,"None",,"All",,"Skype - iOS",,""
"Via home",,"Envoyer au domicile ",,"None",,"All",,"Skype - iOS",,""
"Via mobile",,"Envoyer au mobile",,"None",,"All",,"Skype - iOS",,""
"Via office",,"Envoyer au bureau",,"None",,"All",,"Skype - iOS",,""
"Via other",,"Envoyer à ",,"None",,"All",,"Skype - iOS",,""
"Loading contacts…",,"Chargement des contacts…",,"None",,"All",,"Skype - iOS",,""
"Signing in…",,"Connexion…",,"None",,"All",,"Skype - iOS",,""
"Updating…",,"Mise à jour…",,"None",,"All",,"Skype - iOS",,""
"Add to favorites",,"Ajouter aux favoris",,"None",,"All",,"Skype - iOS",,""
"Choose existing photo",,"Choisir une photo existante",,"None",,"All",,"Skype - iOS",,""
"My account",,"Compte",,"None",,"All",,"Skype - iOS",,""
"Add new favorites via the menu on any contact.",,"Ajouter des favoris depuis le menu de n’importe quel contact.",,"None",,"All",,"Skype - iOS",,""
"Remove profile picture",,"Supprimer l'avatar",,"None",,"All",,"Skype - iOS",,""
"Remove from favorites",,"Retirer des favoris",,"None",,"All",,"Skype - iOS",,""
"Sign out",,"Déconnexion",,"None",,"All",,"Skype - iOS",,""
"Take photo",,"Prendre une photo",,"None",,"All",,"Skype - iOS",,""
"There was a problem opening your account, check your network connection and try again.",,"Un problème est survenu lors de l’ouverture de votre compte, veuillez vérifier vos réglages réseau et réessayer.",,"None",,"All",,"Skype - iOS",,""
""Keep all your favorite people together, <a href=""add-favorites"">add favorites</a>."",,""Regroupez tous vos contacts favoris, <a href=""add-favorites"">ajouter aux favoris</a>."",,"None",,"All",,"Skype - iOS",,""
"Add favorites",,"Ajouter des favoris",,"None",,"All",,"Skype - iOS",,""
"Add participants",,"Ajouter des participants",,"None",,"All",,"Skype - iOS",,""
"ADD:",,"Ajouter :",,"None",,"All",,"Skype - iOS",,""
"Invite friends to Skype",,"Inviter des amis sur Skype",,"None",,"All",,"Skype - iOS",,""
"Already a Skype contact",,"Déjà un contact Skype",,"None",,"All",,"Skype - iOS",,""
"Search for people on Skype using their Skype Name, email or full name.",,"Recherchez des personnes sur Skype à l'aide de leur pseudo Skype, adresse e-mail ou nom complet.",,"None",,"All",,"Skype - iOS",,""
"No matches found",,"Aucun résultat trouvé",,"None",,"All",,"Skype - iOS",,""
"Cancel",,"Fermer",,"None",,"All",,"Skype - iOS",,""
"Search",,"Rechercher",,"None",,"All",,"Skype - iOS",,""
"Add contact",,"Ajouter contact",,"None",,"All",,"Skype - iOS",,""
"Add photo",,"Ajouter une photo",,"None",,"All",,"Skype - iOS",,""
"Your current call will end (please let the other person know) and your new group call will start",,"Votre appel en cours va se terminer (veuillez informer votre interlocuteur) et votre nouvel appel de groupe se lancer",,"None",,"All",,"Skype - iOS",,""
"Call",,"Appeler",,"None",,"All",,"Skype - iOS",,""
"New group call starting",,"Lancement d'un nouvel appel de groupe",,"None",,"All",,"Skype - iOS",,""
"Start a new group call",,"Lancer un nouvel appel de groupe",,"None",,"All",,"Skype - iOS",,""
""has created a <a href=""%@"">group conversation.</a>"",,""a créé une <a href=""%@"">conversation de groupe.</a>"",,"None",,"All",,"Skype - iOS",,""
"Add people",,"Ajouter des contacts",,"None",,"All",,"Skype - iOS",,""
"Skype Verified",,"Vérifié par Skype",,"None",,"All",,"Skype - iOS",,""
"Error",,"Erreur",,"None",,"All",,"Skype - iOS",,""
"Allow",,"Autoriser",,"None",,"All",,"Skype - iOS",,""
"Already a participant",,"Participe déjà",,"None",,"All",,"Skype - iOS",,""
"Already on the call",,"Participe déjà à l'appel",,"None",,"All",,"Skype - iOS",,""
"Voice call",,"Appel audio",,"None",,"All",,"Skype - iOS",,""
"Call phone numbers",,"Appeler des numéros de téléphone",,"None",,"All",,"Skype - iOS",,""
"Dial pad",,"Clavier",,"None",,"All",,"Skype - iOS",,""
"Start a new chat on Skype",,"Commencer une nouvelle discussion sur Skype",,"None",,"All",,"Skype - iOS",,""
"Start a new chat",,"Commencer une nouvelle discussion",,"None",,"All",,"Skype - iOS",,""
"Video call",,"Appel vidéo",,"None",,"All",,"Skype - iOS",,""
"Video Message",,"Message vidéo",,"None",,"All",,"Skype - iOS",,""
"Rate app",,"Noter l'application",,"None",,"All",,"Skype - iOS",,""
"Share the love and leave a rating in the App Store. It'll only take a moment.",,"Dites du bien de nous dans l'App Store ! Cela ne vous prendra que quelques secondes. ",,"None",,"All",,"Skype - iOS",,""
"Thank you!",,"Merci !",,"None",,"All",,"Skype - iOS",,""
"Please check your network settings and try again.",,"Veuillez vérifier vos réglages réseau et réessayer.",,"None",,"All",,"Skype - iOS",,""
"There was a problem signing in with your Microsoft account, please try again later.",,"Un problème est survenu lors de la connexion à votre compte Microsoft. Veuillez réessayer plus tard.",,"None",,"All",,"Skype - iOS",,""
"Your account has been suspended,\n<a href = 'https://go.skype.com/account.recovery.ios'>tap here for more information.</a>",,"Votre compte a été suspendu,\n<a href = 'https://go.skype.com/account.recovery.ios'>appuyez ici pour en savoir plus</a>.",,"None",,"All",,"Skype - iOS",,""
"Unable to sign in, try reinstalling Skype from the App Store.(%d)",,"Impossible de se connecter. Veuillez essayer en réinstallant Skype à partir de l’App Store.(%d)",,"None",,"All",,"Skype - iOS",,""
"Unable to sign in, as you have run out of storage space on your device.",,"Impossible de se connecter. L’espace de stockage de votre appareil est saturé.",,"None",,"All",,"Skype - iOS",,""
"Unable to sign in, please restart your device and try again.(%d)",,"Impossible de se connecter. Veuillez redémarrer votre appareil et réessayer.(%d)",,"None",,"All",,"Skype - iOS",,""
"We didn’t recognize your Skype Name or password.",,"Vos pseudo Skype et mot de passe ne sont pas pris en charge.",,"None",,"All",,"Skype - iOS",,""
"This email address is invalid.",,"Cette adresse e-mail  n'est pas valide.",,"None",,"All",,"Skype - iOS",,""
"Please check and try again.",,"Veuillez vérifier et réessayer.",,"None",,"All",,"Skype - iOS",,""
"This Skype Name is invalid.",,"Ce pseudo Skype n'est pas valide.",,"None",,"All",,"Skype - iOS",,""
"You have been signed out.",,"Vous avez été déconnecté.",,"None",,"All",,"Skype - iOS",,""
"Your password has been changed, sign in to continue using Skype.",,"Votre mot de passe a été modifié. Connectez-vous pour continuer à utiliser Skype.",,"None",,"All",,"Skype - iOS",,""
"Unable to sign in, please try again later.",,"Impossible de se connecter. Veuillez réessayer plus tard.",,"None",,"All",,"Skype - iOS",,""
