PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"a month",,"un mois",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a minute",,"une minute",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d months",,"%d mois",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d minutes",,"%d minutes",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a day",,"un jour",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d days",,"%d jours",,"None",,"All",,"Skype Cast Q&A 2016",,""
"in %s",,"dans %s",,"None",,"All",,"Skype Cast Q&A 2016",,""
"an hour",,"une heure",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d hours",,"%d heures",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%s ago",,"il y a %s",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a few seconds",,"quelques secondes",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a year",,"un an",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d years",,"%d ans",,"None",,"All",,"Skype Cast Q&A 2016",,""
"We are unable to authorize you for this Q&A. Kindly logout and login again with the correct account.",,"Nous ne pouvons pas vous donner accès à ces Q&R. Veuillez vous déconnecter et vous reconnecter avec le compte approprié.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Unable to find the Q&A.",,"Q&R introuvables.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"add an answer",,"Ajouter une réponse",,"None",,"All",,"Skype Cast Q&A 2016",,""
"all",,"toutes",,"None",,"All",,"Skype Cast Q&A 2016",,""
"announce",,"Annoncer",,"None",,"All",,"Skype Cast Q&A 2016",,""
"anonymous user",,"Utilisateur anonyme",,"None",,"All",,"Skype Cast Q&A 2016",,""
"announcement",,"Annonce",,"None",,"All",,"Skype Cast Q&A 2016",,""
"message sent.",,"Message envoyé.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"question added.",,"Question ajoutée.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"question broadcasted.",,"Question diffusée.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"answer.",,"Réponse.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"response added.",,"Réponse ajoutée.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"total question count.",,"Nombre total de questions.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"unread question count.",,"Nombre de questions non lues.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"this message was broadcasted",,"Message diffusé.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Question from {0}",,"Question de {0}",,"None",,"All",,"Skype Cast Q&A 2016",,""
"reply from {0}",,"Réponse de {0}",,"None",,"All",,"Skype Cast Q&A 2016",,""
"tabs",,"Onglets",,"None",,"All",,"Skype Cast Q&A 2016",,""
"ask",,"Poser une question",,"None",,"All",,"Skype Cast Q&A 2016",,""
"ask anonymously",,"Poser une question anonyme",,"None",,"All",,"Skype Cast Q&A 2016",,""
"ask as",,"Poser une question en tant que",,"None",,"All",,"Skype Cast Q&A 2016",,""
"broadcast",,"Diffuser",,"None",,"All",,"Skype Cast Q&A 2016",,""
"message to broadcast",,"Message à diffuser",,"None",,"All",,"Skype Cast Q&A 2016",,""
"add the response",,"Ajouter la réponse",,"None",,"All",,"Skype Cast Q&A 2016",,""
"cancel",,"Annuler",,"None",,"All",,"Skype Cast Q&A 2016",,""
"close qna",,"Fermer les Q&R",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Are you sure you want to delete this announcement?",,"Voulez-vous vraiment supprimer cette annonce ?",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Delete Announcement",,"Supprimer l’annonce",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Are you sure you want to delete this post?",,"Voulez-vous vraiment supprimer cette publication ?",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Delete Post",,"Supprimer la publication",,"None",,"All",,"Skype Cast Q&A 2016",,""
"delete",,"supprimer",,"None",,"All",,"Skype Cast Q&A 2016",,""
"edited by a moderator",,"Modifié par un modérateur",,"None",,"All",,"Skype Cast Q&A 2016",,""
