PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"What's New",,"Nouveautés",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"All rights reserved.",,"Tous droits réservés.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"About this version",,"À propos de cette version",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"About",,"À propos de",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Accept incoming call with audio only",,"Accepter l'appel entrant avec l'audio uniquement",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Accept with audio only",,"Accepter avec l'audio uniquement",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Accept incoming call with video",,"Accepter l'appel entrant avec la vidéo",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Accept with video",,"Accepter avec la vidéo",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
""Alternatively, click ""Create Account"" to create a new Microsoft account."",,"Vous pouvez également cliquer sur Créer un compte pour créer un autre compte Microsoft.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"No Microsoft account is associated with the email provided. Please check and try again.",,"Aucun compte Microsoft n'est associé à l'adresse e-mail fournie. Vérifiez et réessayez.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Forgot to include someone? No problem - simply add them to the chat here",,"Vous avez oublié d'inclure un participant ? Aucun problème, il suffit de l'ajouter à cette conversation",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Add more people",,"Ajouter d'autres participants",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Save to local address book",,"Enregistrer dans un carnet d’adresses local",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
