PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"about",,"à propos",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"About third party components",,"À propos des composants tiers",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Too many results; try refining your search.",,"Trop de résultats. Essayez d’affiner votre recherche.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"We can't connect to the server. Please try again later.",,"Nous ne parvenons pas nous connecter au serveur. Réessayez ultérieurement.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"No results",,"Aucun résultat",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Please sign in to search the company directory.",,"Connectez-vous pour rechercher dans l’annuaire de l’entreprise.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Searching the company directory...",,"Rech. dans annuaire d’entreprise...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Accept",,"Accepter",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Important",,"Important",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Sensitive",,"Sensible",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Unread message",,"Message non lu",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Select status",,"Sélectionner un statut",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Swipe down to dismiss",,"Balayer vers le bas pour masquer",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"turn on Bluetooth",,"activer le Bluetooth",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"turn on speaker",,"activer le haut-parleur",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"urgent interuptions only",,"interruptions urgentes uniquement",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"in a call",,"en communication",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"in a conference call",,"en téléconférence",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"in a meeting",,"en réunion",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"inactive",,"inactif(ve)",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"off work",,"en congé",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"out of office",,"absent(e)",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"out to lunch",,"parti(e) manger",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"presenting",,"en présentation",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Add Contact",,"Ajouter un contact",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"ADD TO GROUP",,"AJOUTER AU GROUPE",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"You've been admitted. We're calling you now...",,"Vous avez été admis. Nous vous appelons...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"All Groups",,"Tous les groupes",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Manage data use",,"Gérer l’utilisation des données",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Anonymously join meetings options ",,"Options pour participer aux réunions de manière anonyme ",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Anonymous",,"Anonyme",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"CONNECTING...",,"CONNEXION...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"updating...",,"mise à jour...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Application",,"Application",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Anyone can use this app to join a Skype Meeting, but to enjoy all the features, you need a Skype for Business account and your organization must have enabled this app.",,"Cette application permet de participer à une réunion Skype. Pour profiter de toutes ses fonctionnalités, vous devez disposer d'un compte Skype Entreprise et l’application doit être activée par votre entreprise.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Apply Settings",,"Appliquer les paramètres",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"ATTENDEES",,"PARTICIPANTS",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Audio",,"Audio",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"to enable voice over ip, visit settings",,"pour activer la voix sur IP, accédez aux paramètres",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"appear away",,"apparaître absent",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"reset status",,"réinitialiser le statut",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"available",,"disponible",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"away",,"absent(e)",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"be right back",,"de retour dans quelques minutes",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"busy",,"occupé(e)",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"do not disturb",,"ne pas déranger",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"off work",,"absent(e) du bureau",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"offline",,"hors ligne",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"unknown",,"inconnu",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Send feedback",,"Envoyer des commentaires",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"join",,"rejoindre",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
