PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"autoSearch",,"Recherche automatique",,"Text",,"All",,"Duet Enterprise",,""
"Sjit Kleur",,"Sjit Kleur",,"Text",,"All",,"Duet Enterprise",,""
"deploy add-ins",,"déployer des compléments",,"Text",,"All",,"Duet Enterprise",,""
"Invalid Locations",,"Emplacements non valides",,"Text",,"All",,"Duet Enterprise",,""
"Do not show this message again",,"Ne plus afficher ce message",,"Text",,"All",,"Duet Enterprise",,""
"theme",,"thème",,"Text",,"All",,"Duet Enterprise",,""
"The first column shouldn't be empty.",,"La première colonne ne doit pas être vide.",,"Text",,"All",,"Duet Enterprise",,""
"Apply",,"Appliquer",,"Text",,"All",,"Duet Enterprise",,""
"You can help us improve Microsoft® Translator by using the <b>Rate Translation</b> buttons, or better yet, by <a href='Settings.aspx'>turning on</a> Data Sharing <a href='DataUsageExpl.aspx'>(Learn more).</a>",,"Vous pouvez nous aider à améliorer Microsoft® Translator en utilisant les boutons <b>Évaluer la traduction</b> ou, mieux encore, en <a href='Settings.aspx'>activant</a> le partage de données <a href='DataUsageExpl.aspx'>(En savoir plus).</a>",,"Text",,"All",,"Duet Enterprise",,""
"The Hub Category Identifier may be incorrectly entered.",,"Il est possible que l’identificateur de catégorie du hub ait été entré de manière incorrecte.",,"Text",,"All",,"Duet Enterprise",,""
"Expand Article",,"Développer l’article",,"Text",,"All",,"Duet Enterprise",,""
"No",,"Non",,"Text",,"All",,"Duet Enterprise",,""
"Publish course materials to students",,"Publier des documents de cours pour les étudiants",,"Text",,"All",,"Duet Enterprise",,""
"Data analysis",,"Analyse de données",,"Text",,"All",,"Duet Enterprise",,""
"Theme 5",,"Thème 5",,"Text",,"All",,"Duet Enterprise",,""
"The new teacher list cannot be blank, please enter at least one teacher and try again",,"La liste de nouveaux enseignants ne peut pas être vide. Entrez au moins un enseignant, puis réessayez.",,"Text",,"All",,"Duet Enterprise",,""
"Sections",,"Sections",,"Text",,"All",,"Duet Enterprise",,""
"Let's get started!",,"Commencer",,"Text",,"All",,"Duet Enterprise",,""
"New Section",,"Nouvelle section",,"Text",,"All",,"Duet Enterprise",,""
"Computers",,"Ordinateurs",,"Text",,"All",,"Duet Enterprise",,""
"Here are the notebooks you have created using this tool",,"Voici les blocs-notes que vous avez créés à l’aide de cet outil :",,"Text",,"All",,"Duet Enterprise",,""
"Links embedded in the text are lost. If you need to keep the links, insert the translation at a different location and manually embed the links into the translated text.",,"Les liens incorporés dans le texte sont perdus. Si vous souhaitez les conserver, insérez la traduction à un autre endroit et incorporez les liens manuellement dans le texte traduit.",,"Text",,"All",,"Duet Enterprise",,""
"type",,"type",,"Text",,"All",,"Duet Enterprise",,""
"article||articles",,"article||articles",,"Text",,"All",,"Duet Enterprise",,""
"Changes you make to a suggested translation before inserting it into your document",,"Modifications apportées à une suggestion de traduction avant de l’insérer dans votre document",,"Text",,"All",,"Duet Enterprise",,""
"get subfolder ID",,"obtenir l’ID du sous-dossier",,"Text",,"All",,"Duet Enterprise",,""
"1 Add Notebook Name",,"1 Ajouter le nom du bloc-notes",,"Text",,"All",,"Duet Enterprise",,""
"From: ",,"Langue de départ : ",,"Text",,"All",,"Duet Enterprise",,""
"Cancel",,"Annuler",,"Text",,"All",,"Duet Enterprise",,""
"No languages found.",,"Aucune langue n’a été détectée.",,"Text",,"All",,"Duet Enterprise",,""
"Back",,"Précédent",,"Text",,"All",,"Duet Enterprise",,""
"Entertainment",,"Loisirs",,"Text",,"All",,"Duet Enterprise",,""
"Section name shouldn't longer than 50 characters",,"Le nom de la section ne doit pas dépasser 50 caractères.",,"Text",,"All",,"Duet Enterprise",,""
"These sections will be created in every student's private notebook. Here are a few suggestions:",,"Ces sections seront créées dans le bloc-notes personnel de chaque étudiant. Voici quelques suggestions :",,"Text",,"All",,"Duet Enterprise",,""
"There is a problem.",,"Un problème est survenu.",,"Text",,"All",,"Duet Enterprise",,""
"To resolve this, rename or delete folder '{0}' and launch the app again",,"Pour résoudre ce problème, renommez ou supprimez le dossier « {0} » et redémarrez l’application.",,"Text",,"All",,"Duet Enterprise",,""
"Show Locations",,"Afficher les emplacements",,"Text",,"All",,"Duet Enterprise",,""
"Theme 1",,"Thème 1",,"Text",,"All",,"Duet Enterprise",,""
"Which class notebook would you like to add teachers to?",,"À quel bloc-notes pour la classe voulez-vous ajouter des enseignants ?",,"Text",,"All",,"Duet Enterprise",,""
"Office client",,"Client Office",,"Text",,"All",,"Duet Enterprise",,""
"Loading...",,"Chargement en cours...",,"Text",,"All",,"Duet Enterprise",,""
"Seattle",,"Seattle",,"Text",,"All",,"Duet Enterprise",,""
"Section name can't have any of these characters: {0}",,"Le nom de la section ne doit pas contenir un des caractères suivants : {0}",,"Text",,"All",,"Duet Enterprise",,""
"delete folder permission",,"supprimer les autorisations du dossier",,"Text",,"All",,"Duet Enterprise",,""
"Student's section group",,"Groupe de section de l’étudiant",,"Text",,"All",,"Duet Enterprise",,""
"get folder ID",,"obtenir l’ID du dossier",,"Text",,"All",,"Duet Enterprise",,""
"Shape 12",,"Forme 12",,"Text",,"All",,"Duet Enterprise",,""
"This app is compatible with the following Accessibility features in Windows. They can be set up from <b>Control Panel > Ease of Access.</b>",,"Cette application est compatible avec les fonctionnalités d’accessibilité suivantes dans Windows. Elles peuvent être configurées dans le <b>Panneau de configuration > Options d’ergonomie.</b>",,"Text",,"All",,"Duet Enterprise",,""
"Close",,"Fermer",,"Text",,"All",,"Duet Enterprise",,""
"turn on Data Sharing.",,"activer le partage de données.",,"Text",,"All",,"Duet Enterprise",,""
"Overview",,"Présentation",,"Text",,"All",,"Duet Enterprise",,""
"How does this app work?",,"Comment fonctionne cette application ?",,"Text",,"All",,"Duet Enterprise",,""
"Please use IE10 or later version",,"Utilisez Internet Explorer 10 ou une version ultérieure.",,"Text",,"All",,"Duet Enterprise",,""
"Translator",,"Translator",,"Text",,"All",,"Duet Enterprise",,""
"Sorry, the notebook doesn't exist",,"Désolé... Le bloc-notes n’existe pas.",,"Text",,"All",,"Duet Enterprise",,""
"When removed, students lose access to their notebooks. To delete their content from your notebook simply delete their sections.",,"En cas de suppression, les étudiants perdent l’accès à leurs blocs-notes. Pour supprimer leur contenu de votre bloc-notes, supprimez simplement leurs sections.",,"Text",,"All",,"Duet Enterprise",,""
"Remove",,"Supprimer",,"Text",,"All",,"Duet Enterprise",,""
"shape",,"forme",,"Text",,"All",,"Duet Enterprise",,""
"Legal Notices",,"Mentions légales",,"Text",,"All",,"Duet Enterprise",,""
"If you are using Internet Explorer 9 on your PC, please upgrade to Internet Explorer 10 or above in order for High-Contrast icons to correctly appear.",,"Si vous utilisez Internet Explorer 9 sur votre PC, mettez-le à niveau vers Internet Explorer 10 ou version ultérieure afin que les icônes des thèmes à contraste élevé s’affichent correctement.",,"Text",,"All",,"Duet Enterprise",,""
"Please select two columns in your Excel spreadsheet.",,"Sélectionnez deux colonnes dans votre feuille de calcul Excel.",,"Text",,"All",,"Duet Enterprise",,""
"Are you sure you want to discard your changes and Cancel Edit?",,"Voulez-vous vraiment ignorer vos modifications et Annuler Modifier ?",,"Text",,"All",,"Duet Enterprise",,""
"We can't find any members in this category.  Please use another term to search again.",,"Nous ne trouvons aucun membre dans cette catégorie. Utilisez un autre terme et relancez la recherche.",,"Text",,"All",,"Duet Enterprise",,""
"Subcategories",,"Sous-catégories",,"Text",,"All",,"Duet Enterprise",,""
"Select your data",,"Sélectionner vos données",,"Text",,"All",,"Duet Enterprise",,""
"Lady Bug",,"Coccinelle",,"Text",,"All",,"Duet Enterprise",,""
"Turquoise",,"Turquoise",,"Text",,"All",,"Duet Enterprise",,""
"Cornucopia",,"Multitude",,"Text",,"All",,"Duet Enterprise",,""
"Translator provides you with a simple way to translate and read messages in your chosen language across devices.<b>Install once and use across devices.</b> Enable Translator once, and use across all your devices, with support for Outlook for iOS, Mac, Windows, Office 365, and Outlook.com. (Coming soon to Android.)<b>Translate seamlessly.</b> Don’t switch between apps to get a translation; see a fully translated view of the message with a tap of a button.",,"L’extension Translator vous propose une manière simple de traduire et de lire les messages dans la langue de votre choix sur tous les appareils.<b>Installez-la une fois pour l’utiliser sur tous vos appareils.</b> Activez l’extension Translator une fois et utilisez-la sur tous vos appareils via Outlook pour iOS, Mac, Windows, Office 365 et Outlook.com (bientôt disponible sur Android).<b>Traduisez de façon transparente.</b> Plus besoin de passer d’une application à une autre pour obtenir une traduction, car vous pouvez consulter un aperçu entièrement traduit de votre message d’un simple appui sur un bouton.",,"Text",,"All",,"Duet Enterprise",,""
"Translator helps you read messages in your language across devices.",,"Le complément Traducteur vous permet de lire les messages dans votre langue sur tous les appareils.",,"Text",,"All",,"Duet Enterprise",,""
"Note: In larger organizations, different users may be on different versions of Exchange or Office. If someone else is the target user of add-in deployment, ask them to try this ",,"Remarque : au sein des grandes organisations, les personnes peuvent utiliser différentes versions d’Exchange ou d’Office. Si une autre personne est l’utilisateur cible du déploiement des compléments, demandez-lui d’essayer le ",,"Text",,"All",,"Duet Enterprise",,""
"You are done! To remove this add-in, please go to Insert tab and click My Add-ins. Then mouse-over the add-in and click on the three dots icon (Options) and select Remove.",,"Vous avez terminé. Pour supprimer ce complément, accédez à l’onglet Insertion, puis cliquez sur Mes compléments. Placez ensuite le curseur de la souris sur le complément, cliquez sur l’icône représentant trois points (Options), puis sélectionnez Supprimer.",,"Text",,"All",,"Duet Enterprise",,""
"Student's notebook",,"Bloc-notes de l’étudiant",,"Text",,"All",,"Duet Enterprise",,""
"Shape 10",,"Forme 10",,"Text",,"All",,"Duet Enterprise",,""
"Did we get this right? Review your final teacher list below.",,"Êtes-vous satisfait du résultat ? Passez en revue votre liste finale d’enseignants ci-dessous.",,"Text",,"All",,"Duet Enterprise",,""
"Website Traffic Analysis",,"Analyse du trafic du site web",,"Text",,"All",,"Duet Enterprise",,""
