PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"An error has occurred. Please retry signing.",,"Une erreur s'est produite. Réessayez de signer.",,"None",,"All",,"InfoPath",,""
"Microsoft Corporation",,"TODO: <Company name>",,"None",,"All",,"InfoPath",,""
"Microsoft® is a registered trademark of Microsoft Corporation.",,"Microsoft® est une marque déposée de Microsoft Corporation.",,"None",,"All",,"InfoPath",,""
"Windows® is a registered trademark of Microsoft Corporation.",,"Windows® est une marque déposée de Microsoft Corporation.",,"None",,"All",,"InfoPath",,""
"Tahoma, Sans-Serif",,"Tahoma, Sans-Serif",,"None",,"All",,"InfoPath",,""
"Digitally Signing the Form",,"Signature numérique du formulaire",,"None",,"All",,"InfoPath",,""
""To be able to sign this form, you need to activate two Windows Internet Explorer add-ons. Click the Information Bar above, then click ""Run ActiveX control"" to activate each add-on."",,"Afin de pouvoir signer ce formulaire, vous devez activer deux modules complémentaires Windows Internet Explorer. Cliquez sur la barre d'informations au-dessus, puis cliquez sur Exécuter le contrôle ActiveX pour activer chaque module complémentaire.",,"None",,"All",,"InfoPath",,""
"o",,"o",,"None",,"All",,"InfoPath",,""
"Tahoma, Verdana, Arial, Helvetica, sans-serif",,"Tahoma, Verdana, Arial, Helvetica, sans-serif",,"None",,"All",,"InfoPath",,""
"Additional Signature Properties",,"Propriétés des signatures supplémentaires",,"None",,"All",,"InfoPath",,""
"<u>O</u>K",,"<u>O</u>K",,"None",,"All",,"InfoPath",,""
"Signing Control Version",,"Version du contrôle de signature",,"None",,"All",,"InfoPath",,""
"Browser",,"Navigateur",,"None",,"All",,"InfoPath",,""
"Current view",,"Vue actuelle",,"None",,"All",,"InfoPath",,""
"Form template fingerprint",,"Empreinte digitale du modèle de formulaire",,"None",,"All",,"InfoPath",,""
"InfoPath version",,"Version d’InfoPath",,"None",,"All",,"InfoPath",,""
"The following data will be included with your signature so that the context under which you viewed and signed the form can be understood by verifiers of your signatures.",,"Les données suivantes seront incluses avec votre signature afin que le contexte de la lecture et la signature du formulaire puisse être compris par les vérificateurs de vos signatures.",,"None",,"All",,"InfoPath",,""
"Not applicable",,"Non applicable",,"None",,"All",,"InfoPath",,""
"InfoPath Forms Services version",,"Version d'InfoPath Forms Services",,"None",,"All",,"InfoPath",,""
"Primary monitor",,"Moniteur principal",,"None",,"All",,"InfoPath",,""
"Number of monitors",,"Nombre de moniteurs",,"None",,"All",,"InfoPath",,""
"Office version",,"Version d'Office",,"None",,"All",,"InfoPath",,""
"Property",,"Propriété",,"None",,"All",,"InfoPath",,""
"System date/time",,"Date/heure système",,"None",,"All",,"InfoPath",,""
"Value",,"Valeur",,"None",,"All",,"InfoPath",,""
