PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"en-us",,"fr-fr",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Menu > Microsoft Teams > Show All",,"Menu > Microsoft Teams > Afficher tout",,"Text",,"All",,"Microsoft Teams for Mac",,""
"We just need you to sign in, and then we'll get you to your meeting.",,"Il suffit de vous connecter, puis nous vous dirigerons vers votre réunion.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Quit",,"Quitter",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Restart",,"Redémarrer",,"Text",,"All",,"Microsoft Teams for Mac",,""
"D'oh! Something went wrong...",,"Oh ! Un problème est survenu...",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Having trouble? Tell us about it.",,"Vous rencontrez des difficultés ? Dites-nous en plus.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Get Latest",,"Obtenir la dernière version",,"Text",,"All",,"Microsoft Teams for Mac",,""
"You’re using an unsupported version of Microsoft Teams",,"Vous utilisez une version de Microsoft Teams non prise en charge",,"Text",,"All",,"Microsoft Teams for Mac",,""
"You've got the latest updates. Enjoy!",,"Vous disposez des dernières mises à jour. Profitez-en !",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Microsoft Teams",,"Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Looks like a few files are missing; re-install Microsoft Teams to try again.",,"Il semblerait que certains fichiers sont manquants. Réinstallez Microsoft Teams pour réessayer.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Couldn’t finish installing",,"Impossible de terminer l’installation",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Hang tight! We’re getting you connected.",,"Veuillez patienter, nous établissons la connexion.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Authentication failed",,"Échec de l’authentification",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Modern authentication failed here, but you'll still be able to sign in. Your status code is {0}.",,"L’authentification moderne a échoué, mais vous pourrez toujours vous connecter. Le code de votre statut est {0}.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Sorry, we're having connection issues.",,"Désolé, nous rencontrons des problèmes de connexion.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Go ahead and log in.",,"Continuez et ouvrez une session.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Login to Microsoft Teams",,"Connexion à Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Mac",,""
"There's a more permanent way to sign in to Microsoft Teams. If you're having trouble completing the process, talk to your IT admin.",,"Il existe une méthode plus permanente pour vous connecter à Microsoft Teams. Si vous ne parvenez pas à réaliser le processus, contactez votre administrateur informatique.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Let's get you up and running...",,"Lancement en cours...",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Authenticate",,"S’authentifier",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Please select a certificate to authenticate yourself to {0}",,"Sélectionnez un certificat pour vous authentifier sur {0}",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Select a certificate",,"Sélectionnez un certificat",,"Text",,"All",,"Microsoft Teams for Mac",,""
"We're sorry, but something went wrong. Please try again.",,"Nous sommes désolés, mais un problème est survenu. Veuillez réessayer.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"You can also try clicking the original link you were sent.",,"Vous pouvez également essayer de cliquer sur le lien d'origine qui vous a été envoyé.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Add to Dictionary",,"Ajouter au dictionnaire",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Copy",,"Copier",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Copy Email Address",,"Copier l’adresse e-mail",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Copy Image",,"Copier l’image",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Copy Image URL",,"Copier l’URL de l’image",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Copy Link",,"Copier le lien",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Cut",,"Couper",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Inspect Element",,"Inspecter l’élément",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Open Link",,"Ouvrir le lien",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Paste",,"Coller",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Yes, open in browser",,"Oui, ouvrir dans le navigateur",,"Text",,"All",,"Microsoft Teams for Mac",,""
"No, cancel",,"Non, annuler",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Want to open this link in a browser?",,"Souhaitez-vous ouvrir ce lien dans un navigateur ?",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Open in browser",,"Ouvrir dans un navigateur",,"Text",,"All",,"Microsoft Teams for Mac",,""
"OK",,"OK",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Cancel",,"Annuler",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Open file {0}?",,"Ouvrir le fichier {0} ?",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Open File",,"Ouvrir un fichier",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Failed to register as chat app for Office",,"Échec de l'enregistrement comme application de conversation pour Office",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Enjoy using Teams!",,"Amusez-vous avec Teams !",,"Text",,"All",,"Microsoft Teams for Mac",,""
"This message is shown on success registering as chat app for Office and when the app is all set up.",,"Ce message s'affiche lorsque l'application de conversation pour Office est correctement enregistrée et que sa configuration est terminée.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"You're all set.",,"Tout est prêt.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Title is shown on success registering as chat app for Office. Let's user know the app is all set up.",,"Titre qui s'affiche lorsque l'application de conversation pour Office est enregistrée. Ainsi, l'utilisateur sait que l'application est prête.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Failed to unregister as chat app for Office",,"Échec de l'annulation de l'enregistrement en tant qu'application de conversation pour Office",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Username or password maybe incorrect",,"Le nom d’utilisateur ou le mot de passe est peut-être incorrect",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Send a quick reply...",,"Envoyer une réponse rapide...",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Send",,"Envoyer",,"Text",,"All",,"Microsoft Teams for Mac",,""
"N/A",,"N/A",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Launching app",,"Lancement de l’application",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Microsoft Confidential. Do not distribute.",,"Microsoft Confidentiel. Distribution interdite.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Loading Microsoft Teams",,"Chargement de Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Sorry, this is taking longer than we thought",,"Désolé, cela prend plus de temps que prévu",,"Text",,"All",,"Microsoft Teams for Mac",,""
"There was a glitch, and we're recovering",,"Un problème est survenu, récupération en cours...",,"Text",,"All",,"Microsoft Teams for Mac",,""
"It looks like we can’t display your content right now. What would you like to do?",,"Il semble que nous ne pouvons pas afficher le contenu dès maintenant. Que voulez-vous faire ?",,"Text",,"All",,"Microsoft Teams for Mac",,""
"We’re having trouble displaying your content",,"Nous éprouvons des difficultés à afficher votre contenu",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Close",,"Fermer",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Maximize",,"Agrandir",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Minimize",,"Réduire",,"Text",,"All",,"Microsoft Teams for Mac",,""
"We’re taking you back to the login page (this could take a few seconds)",,"Nous allons revenir à la page de connexion (Cette opération peut prendre quelques secondes)",,"Text",,"All",,"Microsoft Teams for Mac",,""
"About Microsoft Teams",,"À propos de Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Hide Microsoft Teams",,"Masquer Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Hide Others",,"Masquer les autres",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Quit Microsoft Teams",,"Quitter Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Services",,"Services",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Show All",,"Afficher tout",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Development",,"Développement",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Edit",,"Modifier",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Delete",,"Supprimer",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Paste and Match Style",,"Coller et adapter le style",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Redo",,"Rétablir",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Select All",,"Sélectionner tout",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Undo",,"Annuler",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Help",,"Aide",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Legal Information",,"Informations légales",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Privacy Policy",,"Politique de confidentialité",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Microsoft Teams Help",,"Aide de Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Mac",,""
"View",,"Afficher",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Go Back",,"Précédent",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Go Forward",,"Suivant",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Toggle Full Screen",,"Plein écran",,"Text",,"All",,"Microsoft Teams for Mac",,""
