PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"We're working on getting them back for you ASAP.",,"Nous essayons de les récupérer dès que possible.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't get your activities.",,"Nous ne pouvons pas obtenir vos activités.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Stay on top of relevant activity, such as mentions, likes and replies.",,"Ne manquez aucune activité intéressante, telle que les mentions J'aime et les réponses publiées.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"You'll find notifications here.",,"Les notifications apparaissent ici.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your activities right now",,"Impossible de mettre à jour vos activités pour le moment",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Added you to an unavailable channel",,"Vous a ajouté à un canal non disponible",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Added you to an unavailable team",,"Vous a ajouté à une équipe non disponible",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"an unavailable channel",,"un canal indisponible",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"an unavailable team",,"une équipe non disponible",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Add to favorites",,"Ajouter aux favoris",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Follow channel",,"Suivre le canal",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} added {1} to the conversation",,"{0} a ajouté {1} à la conversation",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Address",,"Adresse",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} and {1}",,"{0} et {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0}, {1}, and {2}",,"{0}, {1} et {2}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0}, {1}, and {2} others",,"{0}, {1} et {2} autres utilisateurs",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't load your older activities right now",,"Impossible de charger vos anciennes activités pour le moment",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"All channels",,"Tous les canaux",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Channels",,"Canaux",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your teams right now",,"Impossible de mettre vos équipes à jour pour le moment",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"All teams",,"Toutes les équipes",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Always, even if I'm active on desktop",,"Toujours, même si je suis actif sur le bureau",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams",,"Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams (Dev)",,"Microsoft Teams (Dev)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams (Dogfood)",,"Microsoft Teams (Version de test)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams (TAP)",,"Microsoft Teams (TAP)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Teams",,"Teams",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Bluetooth",,"Bluetooth",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Change audio output device",,"Modifier le périphérique de sortie audio",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Device",,"Périphérique",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Headset",,"Casque",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Speaker",,"Haut-parleur",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Please sign in again with your current password.",,"Reconnectez-vous avec votre mot de passe actuel.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
