PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Play",,"Lire",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Open Custom link",,"Ouvrir le lien personnalisé ",,"None",,"All",,"Skype Cast Attendee 2015",,""
"An error occurred while processing your request.",,"Une erreur s\\'est produite pendant le traitement de votre demande.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Not started",,"Pas commencés",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Leave",,"Quitter",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Right panel tab for ",,"Onglet du panneau droit pour ",,"None",,"All",,"Skype Cast Attendee 2015",,""
"The broadcast will start in a moment",,"La diffusion va commencer dans un instant",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Click to toggle the navigation dropdown menu",,"Cliquez pour afficher ou masquer le menu déroulant de navigation",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Live",,"En direct",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Yammer",,"Yammer",,"None",,"All",,"Skype Cast Attendee 2015",,""
"We're connecting you to the broadcast",,"Nous vous connectons à la diffusion",,"None",,"All",,"Skype Cast Attendee 2015",,""
"The broadcast wasn’t found.",,"Diffusion introuvable.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Sign Out",,"Déconnexion",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Pulse",,"Impulsion",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Click to toggle the right panel",,"Cliquer pour afficher/masquer le panneau droit",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Captions",,"Légende",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Skype for Business",,"Skype Entreprise",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Please enable cookies in your browser settings to ensure all functionality is available.",,"Veuillez activer les cookies dans les paramètres de votre navigateur pour vous assurer que toutes les fonctionnalités sont disponibles.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"We're getting the video recording",,"L\\'enregistrement de la vidéo est en cours de récupération.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Join",,"Participer",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Open Support link",,"Ouvrir le lien vers le support technique",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Ended",,"Terminés",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Pause",,"Pause",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Privacy & cookies",,"Confidentialité et cookies",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Support",,"Assistance",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Error :(",,"Erreur :(",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Q&A",,"Questions/Réponses&S",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Please install or enable Adobe Flash Player",,"Veuillez installer ou activer Adobe Flash Player",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Captions Off",,"Légendes désactivées",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Get Adobe Flash player",,"Obtenir Adobe Flash Player",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Selected",,"Sélectionné",,"None",,"All",,"Skype Cast Attendee 2015",,""
"An unknown error has occurred.",,"Une erreur inconnue est survenue.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Meeting series",,"Série de réunions",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Anonymous User",,"Utilisateur anonyme",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Bottom panel tab for ",,"Onglet du panneau inférieur pour ",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Sorry, you’re not allowed to attend this meeting. Please contact the meeting organizer.",,"Désolé, vous n\\'êtes pas autorisé à participer à cette réunion. Veuillez contacter l\\'organisateur de la réunion.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Meeting Broadcast",,"Diffusion de réunion",,"None",,"All",,"Skype Cast Attendee 2015",,""
