PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Cancel",,"Annuler",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Select an app for the right panel",,"Sélectionner une application pour le panneau droit",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Add a start time",,"Ajoutez une heure de début.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"This meeting’s video was published to Office 365",,"La vidéo de cette réunion a été publiée sur Office 365",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Checking a few things. We'll get your meetings in a bit.",,"Nous procédons à quelques vérifications. Vos réunions seront disponibles dans quelques instants.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Attendee page settings",,"Paramètres de la page des participants",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Transcription and translation is enabled",,"Transcription et traduction activées",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The start time is later than the end time.",,"L\\'heure de début est ultérieure à l\\'heure de fin.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Note: captions are currently not available in full screen video",,"Remarque : les légendes ne sont actuellement pas disponibles en mode plein écran",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Create Outlook invitation",,"Créer une invitation Outlook",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Video title",,"Titre de la vidéo",,"None",,"All",,"Skype Cast Organizer 2016",,""
"only attendees listed below can join the meeting",,"seuls les participants répertoriés ci-dessous peuvent rejoindre la réunion",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting details couldn't be retrieved.",,"Les détails de la réunion n'ont pas pu être récupérés.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Delete",,"Supprimer",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Recover this meeting",,"Récupérer cette réunion",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting request is empty.",,"La demande de réunion est vide.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Create a video recording for download",,"Créer un enregistrement vidéo à télécharger",,"None",,"All",,"Skype Cast Organizer 2016",,""
"BroadcastMeeting.ics",,"DiffusionRéunion.ics",,"None",,"All",,"Skype Cast Organizer 2016",,""
"View published video",,"Voir la vidéo publiée",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Edit meeting details",,"Modifier les détails de la réunion",,"None",,"All",,"Skype Cast Organizer 2016",,""
"You don't have any meetings this month.",,"Vous n'avez aucune réunion ce mois-ci.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Delete this meeting?",,"Supprimer cette réunion ?",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The attendee is empty",,"Le participant est vide",,"None",,"All",,"Skype Cast Organizer 2016",,""
"You don't have permission to create meetings",,"Vous n\\'êtes pas autorisé à créer des réunions.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Video recording was enabled",,"L'enregistrement vidéo a été activé",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The support code couldn't be created.",,"Le code de support n'a pas pu être créé.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"No custom link",,"Aucun lien personnalisé",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Done",,"Terminé",,"None",,"All",,"Skype Cast Organizer 2016",,""
"are already in the event team",,"sont déjà membres de l'équipe organisatrice",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Give attendees access to content related to this meeting or provide contact links.",,"Autoriser les participants à accéder au contenu de cette réunion ou fournir les liens des contacts.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The account information wasn't found.",,"Les informations relatives au compte sont introuvables.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Empty ETag",,"ETag vide",,"None",,"All",,"Skype Cast Organizer 2016",,""
"One or more event team member' email addresses are empty",,"Les adresses e-mail d'un ou plusieurs membres de l'équipe d'événement sont vides",,"None",,"All",,"Skype Cast Organizer 2016",,""
"We have exciting news--our production environment is ready for new broadcasts! ",,"Dernières nouvelles : notre environnement de production est prêt pour de nouvelles diffusions !",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Reports",,"Rapports",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Couldn't find:",,"Impossible de trouver :",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Access",,"Accès",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Right panel app",,"Application du panneau droit",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Not started",,"Pas commencé",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Getting the link to the meeting recording...",,"Obtention du lien vers l'enregistrement de la réunion…",,"None",,"All",,"Skype Cast Organizer 2016",,""
