PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Your group name must consist of more than just identical letters",,"Le nom de votre groupe ne peut pas être uniquement composé de lettres identiques",,"None",,"All",,"Skype Manager",,""
"Group name is too long (max length 40 characters)",,"Le nom du groupe est trop long (40 caractères maximum)",,"None",,"All",,"Skype Manager",,""
"Your group name cannot contain only numbers",,"Le nom de votre groupe ne peut pas contenir uniquement des chiffres",,"None",,"All",,"Skype Manager",,""
"Group name is too short (min length 2 characters)",,"Le nom du groupe est trop court (2 caractères minimum)",,"None",,"All",,"Skype Manager",,""
"Due to recent changes to Saudi Arabian tax requirements, from 1st January 2018 Skype will include Value Added Tax (VAT) for Saudi Arabia customers purchases of Skype paid products.",,"En raison des récentes modifications des conditions fiscales de l'Arabie saoudite, à compter 1er janvier 2018, Skype inclura une TVA pour les achats de produits Skype effectués par les clients saoudiens.",,"None",,"All",,"Skype Manager",,""
"Due to recent changes to United Arab Emirates tax requirements, from 1st January 2018 Skype will include Value Added Tax (VAT) for United Arab Emirates customers purchases of Skype paid products.",,"En raison des récentes modifications des conditions fiscales de l'Arabie saoudite, à compter du 1er janvier 2018, Skype inclura une TVA pour les achats de produits Skype effectués par les clients saoudiens.",,"None",,"All",,"Skype Manager",,""
"Skype Number will be available in a few minutes.",,"Le numéro Skype sera disponible dans quelques minutes.",,"None",,"All",,"Skype Manager",,""
"Channel subscription will be available in a few minutes.",,"L'abonnement aux canaux d'appel sera disponible dans quelques minutes.",,"None",,"All",,"Skype Manager",,""
"Skype Premium will be available soon.",,"Skype Premium sera bientôt disponible.",,"None",,"All",,"Skype Manager",,""
"Subscription will be available in a few minutes.",,"L’abonnement sera disponible dans quelques minutes.",,"None",,"All",,"Skype Manager",,""
"Voice messaging will be available in a few minutes.",,"La boîte vocale sera disponible dans quelques minutes.",,"None",,"All",,"Skype Manager",,""
"Less than previous month",,"Moins que le mois précédent",,"None",,"All",,"Skype Manager",,""
"More than previous month",,"Plus que le mois précédent",,"None",,"All",,"Skype Manager",,""
"Accept",,"Accepter",,"None",,"All",,"Skype Manager",,""
"Activate",,"Activer",,"None",,"All",,"Skype Manager",,""
"Activate / change",,"Activer/modifier",,"None",,"All",,"Skype Manager",,""
"Add",,"Ajouter",,"None",,"All",,"Skype Manager",,""
"Add another email address",,"Ajouter une autre adresse e-mail",,"None",,"All",,"Skype Manager",,""
"Add new subscription",,"Ajouter un abonnement",,"None",,"All",,"Skype Manager",,""
"Add to Skype contact list",,"Ajouter à la liste de contacts Skype",,"None",,"All",,"Skype Manager",,""
"I want to access the reports",,"Je souhaite accéder aux rapports",,"None",,"All",,"Skype Manager",,""
"Agree",,"Accepter",,"None",,"All",,"Skype Manager",,""
"Allocate / change subscriptions",,"Attribuer/modifier des abonnements",,"None",,"All",,"Skype Manager",,""
"Allocate a Skype Number",,"Attribuer un numéro Skype",,"None",,"All",,"Skype Manager",,""
"Allocate group video calling",,"Attribuer la fonction d’appel vidéo de groupe",,"None",,"All",,"Skype Manager",,""
"Allocate Skype Premium",,"Attribuer Skype Premium",,"None",,"All",,"Skype Manager",,""
"Allocate subscriptions",,"Attribuer les abonnements",,"None",,"All",,"Skype Manager",,""
"Buy now and make changes",,"Souscrire maintenant et apporter des modifications",,"None",,"All",,"Skype Manager",,""
"Buy credit",,"Acheter des crédits",,"None",,"All",,"Skype Manager",,""
"Buy more credit",,"Acheter des crédits supplémentaires",,"None",,"All",,"Skype Manager",,""
"Buy a Skype Number",,"Acheter un numéro Skype",,"None",,"All",,"Skype Manager",,""
"Buy now and reactivate profile",,"Souscrire maintenant et réactiver le profil",,"None",,"All",,"Skype Manager",,""
"I’ve changed my mind",,"J’ai changé d’avis",,"None",,"All",,"Skype Manager",,""
"Cancel",,"Annuler",,"None",,"All",,"Skype Manager",,""
"Cancel US minute bundles",,"Annuler des forfaits de minutes pour les États-Unis",,"None",,"All",,"Skype Manager",,""
"Cancel requests",,"Annuler les demandes",,"None",,"All",,"Skype Manager",,""
"Cancel group video calling",,"Annuler les appels vidéo de groupe",,"None",,"All",,"Skype Manager",,""
"Cancel Skype Premium",,"Annuler Skype Premium",,"None",,"All",,"Skype Manager",,""
"Cancel subscriptions",,"Annuler des abonnements",,"None",,"All",,"Skype Manager",,""
"Cancel voicemail",,"Annuler la boîte vocale",,"None",,"All",,"Skype Manager",,""
"Change Caller ID",,"Modifier l’identification de l’appelant",,"None",,"All",,"Skype Manager",,""
"Change US minute bundles",,"Modifier des forfaits de minutes pour les États-Unis",,"None",,"All",,"Skype Manager",,""
"Change subscription",,"Modifier l'abonnement",,"None",,"All",,"Skype Manager",,""
"Clear number",,"Effacer le chiffre",,"None",,"All",,"Skype Manager",,""
"Close",,"Fermer",,"None",,"All",,"Skype Manager",,""
"Complete account creation",,"Finaliser la création du compte",,"None",,"All",,"Skype Manager",,""
"Confirm",,"Confirmer",,"None",,"All",,"Skype Manager",,""
"Continue",,"Continuer",,"None",,"All",,"Skype Manager",,""
"Create accounts",,"Créer des comptes",,"None",,"All",,"Skype Manager",,""
"Create managed accounts",,"Créer des comptes gérés",,"None",,"All",,"Skype Manager",,""
"Create a group",,"Créer un groupe",,"None",,"All",,"Skype Manager",,""
"Create a new account",,"Créer compte",,"None",,"All",,"Skype Manager",,""
"Create your SIP Profile",,"Créer votre profil SIP",,"None",,"All",,"Skype Manager",,""
"Create your Skype account",,"Créer votre compte Skype",,"None",,"All",,"Skype Manager",,""
"Deactivate",,"Désactiver",,"None",,"All",,"Skype Manager",,""
"Delete account",,"Supprimer le compte",,"None",,"All",,"Skype Manager",,""
"Delete Skype Manager",,"Supprimer le Skype Manager",,"None",,"All",,"Skype Manager",,""
"Delete requests",,"Supprimer les demandes",,"None",,"All",,"Skype Manager",,""
"Disable Caller ID",,"Désactiver l’identification de l’appelant",,"None",,"All",,"Skype Manager",,""
"Discard",,"Rejeter",,"None",,"All",,"Skype Manager",,""
"Download a sample CSV file",,"Télécharger un exemple de fichier CSV",,"None",,"All",,"Skype Manager",,""
"Extend",,"Prolonger",,"None",,"All",,"Skype Manager",,""
"Extend subscriptions",,"Prolonger des abonnements",,"None",,"All",,"Skype Manager",,""
"Generate report",,"Générer un rapport",,"None",,"All",,"Skype Manager",,""
"Get Skype Name",,"Obtenir un pseudo Skype",,"None",,"All",,"Skype Manager",,""
"Get started",,"Mise en route",,"None",,"All",,"Skype Manager",,""
"Go",,"Afficher",,"None",,"All",,"Skype Manager",,""
"Go To PayPal",,"Ouvrir le site PayPal",,"None",,"All",,"Skype Manager",,""
"Hide limits",,"Masquer les limites",,"None",,"All",,"Skype Manager",,""
"Show limits",,"Afficher les limites",,"None",,"All",,"Skype Manager",,""
"Make changes",,"Apporter les modifications",,"None",,"All",,"Skype Manager",,""
"Move",,"Déplacer",,"None",,"All",,"Skype Manager",,""
"Pay now and make changes",,"Souscrire maintenant et apporter des modifications",,"None",,"All",,"Skype Manager",,""
"Pay now",,"Payer maintenant",,"None",,"All",,"Skype Manager",,""
"Deleting",,"Suppression en cours",,"None",,"All",,"Skype Manager",,""
"Reactivate profile",,"Réactiver le profil",,"None",,"All",,"Skype Manager",,""
"Reactivate subscription",,"Réactiver l'abonnement",,"None",,"All",,"Skype Manager",,""
