PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Chat",,"Conversation",,"Text",,"All",,"SkypeSpaces - iOS",,""
"This message has been edited.",,"Ce message a été modifié.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Go to {0} team,  {1} channel",,"Accéder à l'équipe {0}, canal {1}",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Channel was mentioned",,"Le canal a été mentionné",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Team was mentioned",,"L'équipe a été mentionnée",,"Text",,"All",,"SkypeSpaces - iOS",,""
"You were mentioned",,"Vous avez été mentionné",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message copied",,"Message copié",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message deleted",,"Message supprimé",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message liked",,"Message aimé",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message unliked",,"Mention J'aime supprimée du message",,"Text",,"All",,"SkypeSpaces - iOS",,""
"This user has been muted.",,"Le micro de cet utilisateur est désactivé.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"User muted",,"Micro de l'utilisateur désactivé",,"Text",,"All",,"SkypeSpaces - iOS",,""
"User unmuted",,"Micro de l'utilisateur activé",,"Text",,"All",,"SkypeSpaces - iOS",,""
"email",,"e-mail",,"Text",,"All",,"SkypeSpaces - iOS",,""
"password",,"mot de passe",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sign in",,"Connexion",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sign In Error",,"Erreur d'authentification",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sign in to get started.",,"Connectez-vous pour commencer.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sign out",,"Déconnexion",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Are you sure you want to sign out?",,"Voulez-vous vraiment vous déconnecter ?",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Signing in...",,"Connexion...",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Signing out...",,"Déconnexion...",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Missed call",,"Appel manqué",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Voicemail",,"Messagerie vocale",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Activity",,"Activité",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Started a new conversation in {0}",,"Nouvelle conversation commencée dans {0}",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Reply to conversation in {0}",,"Répondre à la conversation dans {0}",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add Channel",,"Ajouter un canal",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Please check your network connection and try again",,"Vérifiez votre connexion réseau et réessayez",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add Members",,"Ajouter des membres",,"Text",,"All",,"SkypeSpaces - iOS",,""
"%@ added %@ to the conversation",,"%@ a ajouté %@ à la conversation",,"Text",,"All",,"SkypeSpaces - iOS",,""
"We couldn't add members.",,"Nous n'avons pas pu ajouter de membres.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"%@ added %@ to the meeting",,"%@ a ajouté %@ à la réunion",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Invite new user",,"Inviter un nouvel utilisateur",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add people to the meeting.",,"Ajouter des participants à la réunion.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add people",,"Ajouter des contacts",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add Team",,"Ajouter une équipe",,"Text",,"All",,"SkypeSpaces - iOS",,""
"The team name you've chosen contains a word that can't be used.",,"Le nom de l'équipe contient un mot qui ne peut pas être utilisé.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Cancel",,"Annuler",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Classification",,"Classification",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Done",,"Terminé",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Name will appear as:",,"Le nom s'affichera comme suit :",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add:",,"Ajouter :",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Skip",,"Ignorer",,"Text",,"All",,"SkypeSpaces - iOS",,""
"The team name you've chosen is not valid.",,"Le nom de l'équipe choisi n'est pas valide.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Privacy",,"Confidentialité",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Private",,"Privée",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Only team owners can add members",,"Seuls les propriétaires d'équipe peuvent ajouter des membres",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Public",,"Publique",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Anyone in your org can discover and join",,"Tous les utilisateurs de votre organisation peuvent la rechercher et la rejoindre",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Create team",,"Créer une équipe",,"Text",,"All",,"SkypeSpaces - iOS",,""
