PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Add channel",,"Ajouter un canal",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Add member",,"Ajouter un membre",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Audio",,"Audio",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"No Audio, echo, noise...",,"Aucun son, il y avait de l'écho, des bruits parasites...",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Speech wasn\'t natural or sounded distorted",,"La voix n'était pas naturelle ou semblait déformée",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The call ended unexpectedly",,"L'appel a pris fin brusquement",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I heard an echo in the call  ",,"Il y avait de l'écho",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"We kept interrupting each other",,"Nous n'arrêtions pas de nous couper la parole",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I could not invite someone into the call​",,"Je n'ai pas réussi à inviter une personne à l'appel",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Volume was low",,"Le volume était faible",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I couldn\'t hear any sound",,"Je n'entendais aucun son",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The other side couldn\'t hear any sound ",,"Mon interlocuteur n'entendait aucun son",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I heard noise in the call",,"Il y avait des bruits parasites",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"People had trouble joining the call​",,"Des personnes ont rencontré des problèmes pour participer à l'appel",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call Feedback",,"Commentaires sur l'appel",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call Rating",,"Évaluation de l'appel",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$d star",,"%1$d étoile",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Rating Star",,"Étoile d'évaluation",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$d stars",,"%1$d étoiles",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s group collapsed",,"%1$s groupe réduit",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s group expanded",,"%1$s groupe développé",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s selected for feedback",,"%1$s est sélectionné pour les commentaires",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s not selected for feedback",,"%1$s n'est pas sélectionné pour les commentaires",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Presentation",,"Présentation",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"No presentation, kept freezing, large delay...",,"Aucune présentation, présentation figée, retard important...",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I couldn\'t see any presented content",,"Le contenu présenté ne s'affichait pas sur mon écran",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"There was a large delay in the presented content",,"La présentation s'affichait après un retard important",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The presented content kept freezing",,"Le contenu présenté se figeait",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The image quality of the presented content was poor",,"L'image de la présentation était de mauvaise qualité",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The presentation stopped unexpectedly",,"La présentation s'est arrêtée brusquement",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Link not supported.You can not open this link on the mobile app.Please open it on the desktop or web app.",,"Lien non pris en charge. Vous ne pouvez pas l'ouvrir dans l'application mobile. Ouvrez-le dans l'application Web ou de bureau.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Chat is restored!",,"La conversation est restaurée.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Select number",,"Sélectionnez un numéro",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Chat is hidden!",,"La conversation est masquée.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Video",,"Vidéo",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"No Video, poor quality, video stopped...",,"Aucune vidéo, mauvaise qualité, la vidéo s'est arrêtée...",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Video kept freezing",,"La vidéo se figeait",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Image quality was poor",,"L'image était de mauvaise qualité",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Video was ahead or behind audio",,"La vidéo et le son n'étaient pas synchronisés",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I could not see any video",,"La vidéo ne s'affichait pas sur mon écran",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The other side couldn\'t see my video",,"Mon interlocuteur ne pouvait pas voir ma vidéo",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The other side was too dark",,"La vidéo de mon interlocuteur était trop sombre",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Video stopped unexpectedly",,"La vidéo s'est arrêtée brusquement",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Close",,"Fermer",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Hang up",,"Raccrocher",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"go to next slide",,"Diapositive suivante",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"go to previous slide",,"Diapositive précédente",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Backspace",,"Retour arrière",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call Answered",,"L'appel a abouti",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Collapse call bar to hide call list",,"Réduisez la barre d'appel pour masquer la liste des appels",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"End on-hold call",,"Terminer l'appel en attente",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Swap call",,"Permuter l'appel",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Expand call bar to see on-hold calls",,"Développez la barre d'appel pour afficher les appels en attente",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
