PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"About Skype TX",,"À propos de Skype TX",,"Button",,"All",,"Skype TX Client V2",,""
"Switch user",,"Changer d'utilisateur",,"Button",,"All",,"Skype TX Client V2",,""
"My Account online",,"Mon compte en ligne",,"Button",,"All",,"Skype TX Client V2",,""
"Exit Skype TX",,"Quitter Skype TX",,"Button",,"All",,"Skype TX Client V2",,""
"Sign in with saved user credentials",,"Utiliser les informations d'identification de l'utilisateur enregistré",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Remove user and forget saved credentials",,"Supprimer l'utilisateur et les informations d'identification enregistrées",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Main Menu",,"Menu principal",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Sign in with a different username and password",,"Utiliser un nom d'utilisateur et un mot de passe différents",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"For more information about",,"Pour plus d'informations sur la",,"Text",,"All",,"Skype TX Client V2",,""
"using Skype in Media visit",,"avec la diffusion Skype, visitez",,"Text",,"All",,"Skype TX Client V2",,""
"media.skype.com",,"media.skype.com",,"Text",,"All",,"Skype TX Client V2",,""
"Broadcast Terms of Service",,"Conditions d'utilisation de la diffusion",,"Text",,"All",,"Skype TX Client V2",,""
"Privacy Statement",,"Déclaration de confidentialité",,"Text",,"All",,"Skype TX Client V2",,""
"Find out more about Skype in Media",,"En savoir plus sur Skype dans les médias",,"Text",,"All",,"Skype TX Client V2",,""
"Heartbeat (Skype Status)",,"État des services Skype",,"Text",,"All",,"Skype TX Client V2",,""
"View Privacy Statement",,"Voir la Déclaration de confidentialité",,"Text",,"All",,"Skype TX Client V2",,""
""<run Uid=""Run_10"">Skype TX is a specialized application for the broadcast industry and does not contain the full set of features provided by Skype. For full Skype functionality, please download the latest version at</run> <a Uid=""Hyperlink_5""><run Uid=""Run_11""></run></a>"",,""<run Uid=""Run_10"">Skype TX est une application spécialisée destinée au secteur de la diffusion et ne contient pas toutes les fonctionnalités fournies par Skype. Pour obtenir l'ensemble des fonctionnalités Skype, téléchargez la dernière version à partir de </run> <a Uid=""Hyperlink_5""><run Uid=""Run_11""></run></a>"",,"Text",,"All",,"Skype TX Client V2",,""
""<a Uid=""Hyperlink_4""><run Uid=""Run_9""></run></a>"",,""<a Uid=""Hyperlink_4""><run Uid=""Run_9""></run></a>"",,"Text",,"All",,"Skype TX Client V2",,""
"Start Over",,"Recommencer",,"Text",,"All",,"Skype TX Client V2",,""
"Choose an account to sign in:",,"Choisissez un compte auquel vous connecter :",,"Text",,"All",,"Skype TX Client V2",,""
"Other user...",,"Autre utilisateur...",,"Text",,"All",,"Skype TX Client V2",,""
""<a Uid=""Hyperlink_2""><run Uid=""Run_7""></run></a>"",,""<a Uid=""Hyperlink_2""><run Uid=""Run_7""></run></a>"",,"Text",,"All",,"Skype TX Client V2",,""
""<a Uid=""HyperlinkPrivacy""><run Uid=""Run_5""></run></a>"",,""<a Uid=""HyperlinkPrivacy""><run Uid=""Run_5""></run></a>"",,"Text",,"All",,"Skype TX Client V2",,""
"Signing in to Skype...",,"Connexion à Skype...",,"Text",,"All",,"Skype TX Client V2",,""
"© Microsoft 2015-2018",,"© Microsoft 2015-2018",,"Text",,"All",,"Skype TX Client V2",,""
"Configuration",,"Configuration",,"Text",,"All",,"Skype TX Client V2",,""
"Channel View",,"Vue du canal",,"Text",,"All",,"Skype TX Client V2",,""
"Full",,"Plein",,"Text",,"All",,"Skype TX Client V2",,""
"Compact",,"Compact",,"Text",,"All",,"Skype TX Client V2",,""
"End User License Agreement",,"Contrat de Licence Utilisateur Final",,"Button",,"All",,"Skype TX Client V2",,""
"Return to About SkypeTX screen",,"Retour à l'écran À propos de Skype TX",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Version",,"Version",,"Text",,"All",,"Skype TX Client V2",,""
"Review EULA",,"Revoir le CLUF",,"Text",,"All",,"Skype TX Client V2",,""
"© 2015-2018 Skype and/or Microsoft",,"© 2015-2018 Skype et/ou Microsoft",,"Text",,"All",,"Skype TX Client V2",,""
"The Skype name and Skype TX name, associated trademarks, logos and &apos;S&apos; logo are trademarks of Skype or related entities.",,""Le nom Skype et le nom Skype TX, les marques, les logos et le logo ""S"" associés sont des marques de Skype ou d'entités associées."",,"Text",,"All",,"Skype TX Client V2",,""
"Warning: This program is protected by copyright law and international treaties. Unauthorized reproduction or distribution of this program, or any portions of it, may result in severe civil and criminal penalties and will be prosecuted to the maximum extent possible under the law.",,"Avertissement : ce programme est protégé par les lois et traités internationaux sur les droits d'auteur. Toute reproduction ou distribution non autorisée de ce programme, en totalité ou en partie, est passible de graves sanctions civiles et pénales. Les contrevenants seront poursuivis dans toute la mesure permise par la loi.",,"Text",,"All",,"Skype TX Client V2",,""
