PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Share button language",,"Langue du bouton de partage",,"None",,"All",,"Skype Web App",,""
"Show share button at",,"Emplacement du bouton de partage",,"None",,"All",,"Skype Web App",,""
"both bottom and top",,"En bas et en haut",,"None",,"All",,"Skype Web App",,""
"bottom of article",,"En bas de l'article",,"None",,"All",,"Skype Web App",,""
"top of article",,"En haut de l'article",,"None",,"All",,"Skype Web App",,""
"Button style",,"Style du bouton",,"None",,"All",,"Skype Web App",,""
"Circle Icon",,"Icône de cercle",,"None",,"All",,"Skype Web App",,""
"Large Share",,"Grand format",,"None",,"All",,"Skype Web App",,""
"Small Share",,"Petit format",,"None",,"All",,"Skype Web App",,""
"Square Icon",,"Icône carrée",,"None",,"All",,"Skype Web App",,""
"Enable share button",,"Activer le bouton de partage",,"None",,"All",,"Skype Web App",,""
"Learn more, check out the {href_start}FAQ{href_end}.",,"Consultez notre {href_start}FAQ{href_end} pour en savoir plus.",,"None",,"All",,"Skype Web App",,""
"Get people sharing and talking about your website on Skype. We've made it faster and easier for people to share content from your site, straight into a Skype chat. It is easy to integrate and supports both desktop and mobile sites.",,"Notre nouvelle fonctionnalité facile à intégrer permet de partager le contenu des sites standard et mobiles directement dans les conversations Skype. Utilisez-la pour faire parler de votre site et aider les utilisateurs à partager vos contenus !",,"None",,"All",,"Skype Web App",,""
"Skype share button options",,"Options du bouton de partage de Skype",,"None",,"All",,"Skype Web App",,""
"Skype share button",,"Bouton de partage de Skype",,"None",,"All",,"Skype Web App",,""
"Settings",,"Paramètres",,"None",,"All",,"Skype Web App",,""
"Your use of Skype buttons is subject to the {href_start}Terms of Use{href_end}.",,"Votre utilisation des boutons Skype est soumise aux {href_start}conditions d'utilisation{href_end}.",,"None",,"All",,"Skype Web App",,""
""Accessibility label describing how many mutual friends the contact has with the current user. {Locked=""{count}""}"",,""Étiquette d’accessibilité décrivant le nombre d’amis communs que le contact a avec l’utilisateur actuel. {Locked=""{count}""}"",,"None",,"All",,"Skype Web App",,""
