PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Video problem",,"Problème vidéo",,"None",,"All",,"Skype for Surface RT",,""
"Video problem. Send audio/video from your last call plus logs.",,"Problème vidéo. Envoyer les données audio/vidéo de votre dernier appel avec les journaux.",,"None",,"All",,"Skype for Surface RT",,""
"I accept the terms and conditions",,"J'accepte les termes et conditions",,"None",,"All",,"Skype for Surface RT",,""
"{0} - Press enter or space for call controls",,"{0} - Appuyez sur Entrée ou sur la barre d'espacement pour afficher les commandes",,"None",,"All",,"Skype for Surface RT",,""
"Call",,"Appel",,"None",,"All",,"Skype for Surface RT",,""
"Add all invitees",,"Ajouter tous les invités",,"None",,"All",,"Skype for Surface RT",,""
"All Invitees",,"Tous les invités",,"None",,"All",,"Skype for Surface RT",,""
"Add",,"Ajouter",,"None",,"All",,"Skype for Surface RT",,""
"People",,"Personnes",,"None",,"All",,"Skype for Surface RT",,""
"Find someone or dial a number",,"Rechercher quelqu'un/Entrer numéro",,"None",,"All",,"Skype for Surface RT",,""
"Add online participants",,"Ajouter des participants en ligne",,"None",,"All",,"Skype for Surface RT",,""
"Admit all",,"Autoriser tout le monde",,"None",,"All",,"Skype for Surface RT",,""
"Admit",,"Autoriser",,"None",,"All",,"Skype for Surface RT",,""
"1 of {0}:",,"1 sur {0} :",,"None",,"All",,"Skype for Surface RT",,""
"Allow",,"Autoriser",,"None",,"All",,"Skype for Surface RT",,""
"Allow this participant into the meeting",,"Autoriser ce participant à accéder à la réunion",,"None",,"All",,"Skype for Surface RT",,""
"Content",,"Contenu",,"None",,"All",,"Skype for Surface RT",,""
"New messages",,"Nouveaux messages",,"None",,"All",,"Skype for Surface RT",,""
"Message",,"Message",,"None",,"All",,"Skype for Surface RT",,""
"Roster",,"Liste",,"None",,"All",,"Skype for Surface RT",,""
"Join {0} scheduled meeting {1}",,"Participer à la réunion {0} organisée à {1}",,"None",,"All",,"Skype for Surface RT",,""
"Back",,"Retour",,"None",,"All",,"Skype for Surface RT",,""
"Attendee",,"Participants",,"None",,"All",,"Skype for Surface RT",,""
"Send audio from your last call plus logs",,"Envoyer les données audio de votre dernier appel avec les journaux",,"None",,"All",,"Skype for Surface RT",,""
"Audio problem",,"Problème audio",,"None",,"All",,"Skype for Surface RT",,""
"Audio problem. Send audio from your last call plus logs.",,"Problème audio. Envoyer les données audio de votre dernier appel avec les journaux.",,"None",,"All",,"Skype for Surface RT",,""
"Auto Camera Switching",,"Basculement automatique de la caméra",,"None",,"All",,"Skype for Surface RT",,""
"Your device isn’t set up for email. Please contact your support team.",,"Votre appareil n'est pas configuré pour les e-mails. Veuillez contacter votre équipe de support technique.",,"None",,"All",,"Skype for Surface RT",,""
"Nothing's scheduled for the rest of the day.",,"Rien n'est prévu pour le reste de la journée.",,"None",,"All",,"Skype for Surface RT",,""
"Getting your calendar…",,"Connexion à votre calendrier en cours...",,"None",,"All",,"Skype for Surface RT",,""
"Calendar is unavailable",,"Calendrier indisponible",,"None",,"All",,"Skype for Surface RT",,""
"Call Ended",,"Appel terminé",,"None",,"All",,"Skype for Surface RT",,""
"This call is on hold.",,"Cet appel est en attente.",,"None",,"All",,"Skype for Surface RT",,""
"The network quality isn't great",,"Qualité réseau médiocre",,"None",,"All",,"Skype for Surface RT",,""
"The network quality is pretty bad",,"Qualité réseau mauvaise",,"None",,"All",,"Skype for Surface RT",,""
"The network quality is good",,"Qualité réseau bonne",,"None",,"All",,"Skype for Surface RT",,""
"Camera options",,"Options de la caméra",,"None",,"All",,"Skype for Surface RT",,""
"Cancel",,"Annuler",,"None",,"All",,"Skype for Surface RT",,""
"Center Camera Only",,"Caméra centrale uniquement",,"None",,"All",,"Skype for Surface RT",,""
"Chat Input conversation with zero participants||Chat Input conversation with one participant||Chat Input conversation with {0} participants",,"Données de conversation avec aucun participant||Données de conversation avec un participant||Données de conversation avec {0} participants",,"None",,"All",,"Skype for Surface RT",,""
"Type a message here",,"Entrez un message ici",,"None",,"All",,"Skype for Surface RT",,""
"Chat conversation pane updated",,"Conversation Volet de conversation mis à jour",,"None",,"All",,"Skype for Surface RT",,""
"Check in all local participants",,"Enregistrer tous les participants locaux",,"None",,"All",,"Skype for Surface RT",,""
"Expand or collapse the participants who have not yet joined the meeting or left the meeting",,"Développer ou réduire les participants qui n’ont pas encore rejoint la réunion ou l’ont quittée",,"None",,"All",,"Skype for Surface RT",,""
"Clear search",,"Effacer la recherche",,"None",,"All",,"Skype for Surface RT",,""
"Tap to close meeting details",,"Appuyez pour fermer les détails de la réunion",,"None",,"All",,"Skype for Surface RT",,""
"{0} is Presenting PowerPoint",,"{0} fait une présentation dans PowerPoint",,"None",,"All",,"Skype for Surface RT",,""
"{0} is Presenting",,"{0} présente actuellement",,"None",,"All",,"Skype for Surface RT",,""
"Coming soon...",,"Bientôt...",,"None",,"All",,"Skype for Surface RT",,""
"Content and gallery",,"Contenu et galerie",,"None",,"All",,"Skype for Surface RT",,""
"{0}, meeting details",,"{0}, détails de la réunion",,"None",,"All",,"Skype for Surface RT",,""
"PowerPoint content: {0}, {1}",,"Contenu PowerPoint : {0}, {1}",,"None",,"All",,"Skype for Surface RT",,""
"Screen presentation, {0}",,"Présentation de l'écran, {0}",,"None",,"All",,"Skype for Surface RT",,""
"Content PIN: {0}",,"Code confidentiel de contenu : {0}",,"None",,"All",,"Skype for Surface RT",,""
"Enter this PIN on the {0} device to see content in your meeting.",,"Entrer ce code confidentiel sur l'appareil {0} pour afficher le contenu dans votre réunion.",,"None",,"All",,"Skype for Surface RT",,""
"Meeting: {0}",,"Réunion : {0}",,"None",,"All",,"Skype for Surface RT",,""
"Organizer: {0}",,"Organisateur : {0}",,"None",,"All",,"Skype for Surface RT",,""
"Content PIN for {0}",,"Code confidentiel de contenu pour {0}",,"None",,"All",,"Skype for Surface RT",,""
"is now presenting Desktop.",,"présente actuellement depuis son bureau.",,"None",,"All",,"Skype for Surface RT",,""
"has stopped presenting",,"a arrêté la présentation",,"None",,"All",,"Skype for Surface RT",,""
"Connecting...",,"Connexion…",,"None",,"All",,"Skype for Surface RT",,""
"Retry",,"Réessayer",,"None",,"All",,"Skype for Surface RT",,""
"Presentation has stopped because of problems connecting to Skype server.",,"La présentation s'est arrêtée en raison de problèmes de connexion au serveur Skype.",,"None",,"All",,"Skype for Surface RT",,""
"Content With Video",,"Contenu avec vidéo",,"None",,"All",,"Skype for Surface RT",,""
"We couldn’t join you to the meeting.",,"Nous n’avons pas pu vous donner accès à la réunion.",,"None",,"All",,"Skype for Surface RT",,""
"You weren't admitted into the meeting. Please try joining again.",,"Vous n'avez pas été admis à la réunion. Veuillez réessayer.",,"None",,"All",,"Skype for Surface RT",,""
"Deny all",,"Refuser tous",,"None",,"All",,"Skype for Surface RT",,""
"Deny",,"Refuser",,"None",,"All",,"Skype for Surface RT",,""
"Deny this participant from the meeting",,"Refuser l’accès à la réunion à ce participant",,"None",,"All",,"Skype for Surface RT",,""
"Close",,"Fermer",,"None",,"All",,"Skype for Surface RT",,""
"DTMF dialpad",,"Pavé de numérotation DTMF",,"None",,"All",,"Skype for Surface RT",,""
"I'm done",,"J'ai terminé",,"None",,"All",,"Skype for Surface RT",,""
"Backspace",,"Retour arrière",,"None",,"All",,"Skype for Surface RT",,""
"Pound",,"Dièse",,"None",,"All",,"Skype for Surface RT",,""
"Zero",,"Zéro",,"None",,"All",,"Skype for Surface RT",,""
"One",,"Un",,"None",,"All",,"Skype for Surface RT",,""
"Two",,"Deux",,"None",,"All",,"Skype for Surface RT",,""
"Three",,"Trois",,"None",,"All",,"Skype for Surface RT",,""
"Four",,"Quatre",,"None",,"All",,"Skype for Surface RT",,""
"Five",,"Cinq",,"None",,"All",,"Skype for Surface RT",,""
"Six",,"Six",,"None",,"All",,"Skype for Surface RT",,""
"Seven",,"Sept",,"None",,"All",,"Skype for Surface RT",,""
"Eight",,"Huit",,"None",,"All",,"Skype for Surface RT",,""
"Nine",,"Neuf",,"None",,"All",,"Skype for Surface RT",,""
"Dial a number",,"Composer un numéro",,"None",,"All",,"Skype for Surface RT",,""
"Star",,"Étoile",,"None",,"All",,"Skype for Surface RT",,""
"Join Meeting",,"Participer à la réunion",,"None",,"All",,"Skype for Surface RT",,""
"Leave Meeting",,"Quitter la réunion",,"None",,"All",,"Skype for Surface RT",,""
"Add a message",,"Ajouter un message",,"None",,"All",,"Skype for Surface RT",,""
"Attachment {0}, {1}",,"Pièce jointe  {0}, {1}",,"None",,"All",,"Skype for Surface RT",,""
"Attachment {0}, {1}",,"Pièce jointe {0}, {1}",,"None",,"All",,"Skype for Surface RT",,""
"Attachments:",,"Pièces jointes :",,"None",,"All",,"Skype for Surface RT",,""
"Email the Content PIN to someone in the meeting",,"Envoyer par e-mail le code confidentiel de contenu à l'un des participants de la réunion",,"None",,"All",,"Skype for Surface RT",,""
"Send",,"Envoyer",,"None",,"All",,"Skype for Surface RT",,""
"Send a Content PIN",,"Envoyer un code PIN de contenu",,"None",,"All",,"Skype for Surface RT",,""
"Shared from {0}",,"Partagé à partir de {0}",,"None",,"All",,"Skype for Surface RT",,""
"Email has been disabled by policy.",,"L'e-mail a été désactivé par une stratégie.",,"None",,"All",,"Skype for Surface RT",,""
"We couldn't attach any files.",,"Nous n\\'avons pas pu joindre de fichier.",,"None",,"All",,"Skype for Surface RT",,""
"We couldn’t send your email.",,"Impossible d'envoyer votre e-mail.",,"None",,"All",,"Skype for Surface RT",,""
"You can't send email now because of an internal error.",,"Vous ne pouvez pas envoyer d'e-mail pour l'instant en raison d'une erreur interne.",,"None",,"All",,"Skype for Surface RT",,""
"We need to know who to send this to. Make sure you enter at least one name.",,"Merci d'indiquer au moins un nom de destinataire.",,"None",,"All",,"Skype for Surface RT",,""
"We can't send your email due to an error.",,"Nous ne pouvons pas envoyer votre e-mail en raison d\\'une erreur.",,"None",,"All",,"Skype for Surface RT",,""
"You can't send email now because your device isn't connected to the Internet.",,"Vous ne pouvez pas envoyer d'e-mail pour l'instant car votre appareil n'est pas connecté à Internet.",,"None",,"All",,"Skype for Surface RT",,""
"The data shared by the source app couldn’t be loaded.",,"Les données partagées par l\\'application source n\\'ont pas pu être chargées.",,"None",,"All",,"Skype for Surface RT",,""
"Error: {0}",,"Erreur : {0}",,"None",,"All",,"Skype for Surface RT",,""
"Image",,"Image",,"None",,"All",,"Skype for Surface RT",,""
"Subject",,"Objet",,"None",,"All",,"Skype for Surface RT",,""
"Subject:",,"Objet :",,"None",,"All",,"Skype for Surface RT",,""
"To:",,"À :",,"None",,"All",,"Skype for Surface RT",,""
"Some attachments may be too large to send in email. Check that this email is received before ending your meeting.",,"Certaines pièces jointes peuvent être trop volumineuses pour être envoyées par e-mail. Vérifiez la réception de cet e-mail avant de terminer votre réunion.",,"None",,"All",,"Skype for Surface RT",,""
"We couldn't attach all the files.",,"Nous n\\'avons pas pu joindre tous les fichiers.",,"None",,"All",,"Skype for Surface RT",,""
"Some data shared by the source app couldn't be loaded.",,"Certaines données partagées par l\\'application source n\\'ont pas pu être chargées.",,"None",,"All",,"Skype for Surface RT",,""
"Warning: {0}",,"Avertissement : {0}",,"None",,"All",,"Skype for Surface RT",,""
"Hang up",,"Raccrocher",,"None",,"All",,"Skype for Surface RT",,""
"Enter Content PIN",,"Saisir un code PIN de contenu",,"None",,"All",,"Skype for Surface RT",,""
"To continue, enter the Content PIN.",,"Pour continuer, entrez le code confidentiel de contenu.",,"None",,"All",,"Skype for Surface RT",,""
"Even if you have a PIN, we need to send you a new one. This is to protect your info.",,"Même si vous disposez déjà d'un code confidentiel, nous devons vous en envoyer un nouveau afin de protéger vos informations.",,"None",,"All",,"Skype for Surface RT",,""
"Exit Full Screen View",,"Quitter l'affichage plein écran",,"None",,"All",,"Skype for Surface RT",,""
"Exit Lobby",,"Quitter la salle d'attente",,"None",,"All",,"Skype for Surface RT",,""
"Files:",,"Fichiers :",,"None",,"All",,"Skype for Surface RT",,""
"See console",,"Voir la console",,"None",,"All",,"Skype for Surface RT",,""
