PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Activate SMS alerts",,"Sms-meldingen activeren",,"Text",,"All",,"Commerce Server",,""
"Your Skype credit is",,"Uw Skype-tegoed bedraagt",,"Text",,"All",,"Commerce Server",,""
"Add your home phone number so friends will have more ways to contact you",,"Uw telefoon thuis toevoegen zodat vrienden meer manieren hebben om contact met u op te nemen",,"Text",,"All",,"Commerce Server",,""
"Add your mobile number so friends will have more ways to contact you",,"Uw mobiele nummer toevoegen zodat vrienden meer manieren hebben om contact met u op te nemen",,"Text",,"All",,"Commerce Server",,""
"Add your office phone number so friends will have more ways to contact you",,"Uw telefoon op het werk toevoegen zodat vrienden meer manieren hebben om contact met u op te nemen",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 1",,"Terug naar voetnoot 1",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 2",,"Terug naar voetnoot 2",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 3",,"Terug naar voetnoot 3",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 4",,"Terug naar voetnoot 4",,"Text",,"All",,"Commerce Server",,""
"Delete phone number: {NUMBER}",,"Telefoonnummer verwijderen: {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"No, don't delete number {NUMBER}",,"Nee, nummer {NUMBER} niet verwijderen",,"Text",,"All",,"Commerce Server",,""
"Yes, delete number {NUMBER}",,"Ja, nummer {NUMBER} verwijderen",,"Text",,"All",,"Commerce Server",,""
"Cancel and return to account overview page",,"Annuleren en teruggaan naar de accountoverzichtspagina",,"Text",,"All",,"Commerce Server",,""
"Cancel {PACKAGE_NAME} subscription",,"{PACKAGE_NAME}-abonnement opzeggen",,"Text",,"All",,"Commerce Server",,""
"Reset or change Facebook password",,"Facebook-wachtwoord resetten of wijzigen",,"Text",,"All",,"Commerce Server",,""
"Reset or change Microsoft password",,"Microsoft-wachtwoord resetten of wijzigen",,"Text",,"All",,"Commerce Server",,""
"Change Skype password",,"Skype-wachtwoord wijzigen",,"Text",,"All",,"Commerce Server",,""
"Number to show when I call phones",,"Weer te geven nummer wanneer ik telefoons bel",,"Text",,"All",,"Commerce Server",,""
"Verification code",,"Verificatiecode",,"Text",,"All",,"Commerce Server",,""
"Close pop-up",,"Pop-up sluiten",,"Text",,"All",,"Commerce Server",,""
"Country/region",,"Land/regio",,"Text",,"All",,"Commerce Server",,""
"Country/region or Skype Name",,"Land/regio of Skypenaam",,"Text",,"All",,"Commerce Server",,""
"Delete number {number}",,"Nummer {number} verwijderen",,"Text",,"All",,"Commerce Server",,""
"Disable Caller id",,"Nummerweergave uitschakelen",,"Text",,"All",,"Commerce Server",,""
"Disable call forwarding",,"Doorschakelen deactiveren",,"Text",,"All",,"Commerce Server",,""
"Disable voice messages",,"Voicemail uitschakelen",,"Text",,"All",,"Commerce Server",,""
"Display billings and payments",,"Facturen en betalingen weergeven",,"Text",,"All",,"Commerce Server",,""
"Display settings and preferences",,"Instellingen en voorkeuren weergeven",,"Text",,"All",,"Commerce Server",,""
"Display subscriptions.",,"Abonnementen weergeven.",,"Text",,"All",,"Commerce Server",,""
"Edit phone number",,"Telefoonnummer bewerken",,"Text",,"All",,"Commerce Server",,""
"Learn more about using your Facebook account to sign in to Skype",,"Meer info over hoe u zich bij Skype kunt aanmelden met uw Facebook-account",,"Text",,"All",,"Commerce Server",,""
"Unlink your Facebook account ",,"Uw Facebook-account ontkoppelen ",,"Text",,"All",,"Commerce Server",,""
"Find a new subscription",,"Een nieuw abonnement zoeken",,"Text",,"All",,"Commerce Server",,""
"Footnote 1",,"Voetnoot 1",,"Text",,"All",,"Commerce Server",,""
"Footnote 2",,"Voetnoot 2",,"Text",,"All",,"Commerce Server",,""
"Footnote 3",,"Voetnoot 3",,"Text",,"All",,"Commerce Server",,""
"Footnote 4",,"Voetnoot 4",,"Text",,"All",,"Commerce Server",,""
"Get {PACKAGE_NAME} subscription",,"Neem een {PACKAGE_NAME}-abonnement ",,"Text",,"All",,"Commerce Server",,""
"Previous page",,"Vorige pagina",,"Text",,"All",,"Commerce Server",,""
"Select country/region for your Skype Number",,"Selecteer land/regio voor uw Skype-nummer",,"Text",,"All",,"Commerce Server",,""
"Select Your Skype Number",,"Kies uw Skype-nummer",,"Text",,"All",,"Commerce Server",,""
"Hide billing and payments",,"Facturen en betalingen verbergen",,"Text",,"All",,"Commerce Server",,""
"Hide settings and preferences",,"Instellingen en voorkeuren verbergen",,"Text",,"All",,"Commerce Server",,""
"Hide subscriptions.",,"Abonnementen verbergen.",,"Text",,"All",,"Commerce Server",,""
"Link opens in {SPAN_START}iFrame{SPAN_END}.",,"Link wordt geopend in {SPAN_START}iFrame{SPAN_END}.",,"Text",,"All",,"Commerce Server",,""
"Change Caller ID number",,"Nummer voor nummerweergave wijzigen",,"Text",,"All",,"Commerce Server",,""
"We'll display a number local to the place you're calling, if you have one.",,"We tonen een nummer met hetzelfde landnummer als de bestemming die u belt, als u er een hebt.",,"Text",,"All",,"Commerce Server",,""
"Why you should complete your profile",,"Waarom u uw profiel zou moeten invullen",,"Text",,"All",,"Commerce Server",,""
"over 50 countries/regions for {PLAN_NAME}.",,"meer dan 50 landen/regio's voor {PLAN_NAME}.",,"Text",,"All",,"Commerce Server",,""
"{COUNT} minute left",,"{COUNT} minuut over",,"Text",,"All",,"Commerce Server",,""
"{COUNT} minutes left",,"{COUNT} minuten over",,"Text",,"All",,"Commerce Server",,""
"minute of Skype WiFi.",,"minuut Skype WiFi.",,"Text",,"All",,"Commerce Server",,""
"minutes of Skype WiFi.",,"minuten Skype WiFi.",,"Text",,"All",,"Commerce Server",,""
"minute to mobiles and landlines.",,"minuut naar vast en mobiel.",,"Text",,"All",,"Commerce Server",,""
