PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"An error has occurred. Please retry signing.",,"Er is een fout opgetreden. Probeer opnieuw te ondertekenen.",,"None",,"All",,"InfoPath",,""
"Microsoft Corporation",,"Microsoft Corporation",,"None",,"All",,"InfoPath",,""
"Microsoft® is a registered trademark of Microsoft Corporation.",,"Microsoft® is een gedeponeerd merk van Microsoft Corporation.",,"None",,"All",,"InfoPath",,""
"Windows® is a registered trademark of Microsoft Corporation.",,"Windows® is een gedeponeerd merk van Microsoft Corporation.",,"None",,"All",,"InfoPath",,""
"Tahoma, Sans-Serif",,"Tahoma, Sans-Serif",,"None",,"All",,"InfoPath",,""
"Digitally Signing the Form",,"Het formulier wordt digitaal ondertekend",,"None",,"All",,"InfoPath",,""
""To be able to sign this form, you need to activate two Windows Internet Explorer add-ons. Click the Information Bar above, then click ""Run ActiveX control"" to activate each add-on."",,"Als u dit formulier van een digitale handtekening wilt voorzien, moet uw twee Windows Internet Explorer-invoegtoepassingen activeren. Klik op de informatiebalk hierboven en klik vervolgens op ActiveX-besturingselementen en -invoegtoepassingen uitvoeren om elke invoegtoepassing te activeren.",,"None",,"All",,"InfoPath",,""
"o",,"o",,"None",,"All",,"InfoPath",,""
"Tahoma, Verdana, Arial, Helvetica, sans-serif",,"Tahoma, Verdana, Arial, Helvetica, sans-serif",,"None",,"All",,"InfoPath",,""
"Additional Signature Properties",,"Aanvullende eigenschappen handtekening",,"None",,"All",,"InfoPath",,""
