PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"We're working on getting them back for you ASAP.",,"Er wordt aan gewerkt om ze zo snel mogelijk voor u terug te halen.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't get your activities.",,"Kan uw activiteiten niet ophalen.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Stay on top of relevant activity, such as mentions, likes and replies.",,"Blijf op de hoogte van relevante activiteiten, zoals vermeldingen, vind-ik-leuks en antwoorden.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"You'll find notifications here.",,"Hier vindt u meldingen.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your activities right now",,"De activiteiten kunnen nu niet worden bijgewerkt",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Added you to an unavailable channel",,"Heeft u toegevoegd aan een kanaal dat niet beschikbaar is",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Added you to an unavailable team",,"Heeft u toegevoegd aan een team dat niet beschikbaar is",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"an unavailable channel",,"een niet-beschikbaar kanaal",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"an unavailable team",,"een team dat niet beschikbaar is",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Add to favorites",,"Toevoegen aan favorieten",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Follow channel",,"Kanaal volgen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} added {1} to the conversation",,"{0} heeft {1} toegevoegd aan het gesprek",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Address",,"Adres",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} and {1}",,"{0} en {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0}, {1}, and {2}",,"{0}, {1} en {2}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0}, {1}, and {2} others",,"{0}, {1} en {2} anderen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't load your older activities right now",,"De oudere activiteiten kunnen nu niet worden geladen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"All channels",,"Alle kanalen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Channels",,"Kanalen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your teams right now",,"Uw teams kunnen nu niet worden bijgewerkt",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"All teams",,"Alle teams",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Always, even if I'm active on desktop",,"Altijd, zelfs wanneer ik actief ben op het bureaublad",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams",,"Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams (Dev)",,"Microsoft Teams (Dev)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams (Dogfood)",,"Microsoft Teams (Dogfood)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams (TAP)",,"Microsoft Teams (TAP)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Teams",,"Teams",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Bluetooth",,"Bluetooth",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Change audio output device",,"Het uitvoerapparaat voor audio wijzigen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Device",,"Apparaat",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Headset",,"Headset",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Speaker",,"Luidspreker",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Please sign in again with your current password.",,"Uw referenties zijn verlopen, meld u opnieuw aan.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams is now using modern authentication, a better, more secure way to sign in. Once you've signed in again, you won't need to re-enter credentials when you open any Office 365 application.",,"Microsoft Teams gebruikt nu moderne verificatie; een betere en veiligere manier om u aan te melden. Wanneer u zich opnieuw hebt aangemeld, hoeft u uw referenties niet opnieuw in te voeren wanneer u een Office 365-toepassing opent.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"You'll get modern authentication, a single, better, and more secure sign in to all your Office 365 apps.",,"U beschikt over moderne verificatie en één centrale, betere en veiligere aanmeldoptie voor al uw Office 365-apps.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Please sign back in to Microsoft Teams",,"Meld u opnieuw aan bij Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"({0} Guests)",,"({0} gasten)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"(1 Guest)",,"(1 gast)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} (Guest)",,"{0} (gast)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Back",,"Terug",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sent a card",,"Een kaart verzonden",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Hang up your current call before starting a new one.",,"Beëindig deze oproep voordat u een nieuwe oproep start.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call busy",,"Oproep bezet",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call canceled",,"Oproep geannuleerd",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call declined",,"Oproep geweigerd",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call dropped",,"Oproep gestopt",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"hh\:mm\:ss",,"hh\:mm\:ss",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"mm\:ss",,"mm\:ss",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call Ended",,"De oproep is beëindigd",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call ended",,"Oproep beëindigd",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call Ended {0}",,"Oproep beëindigd: {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call ended {0}",,"Oproep beëindigd {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call failed",,"Oproep mislukt",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call Missed",,"Oproep gemist",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call missed",,"Oproep gemist",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Tap to return to call",,"Tik om terug te keren naar het gesprek",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call on hold",,"Oproep in de wachtstand",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call",,"Bellen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call started",,"Oproep gestart",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Calling",,"Bellen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sorry, we're unable to search for people at the moment",,"Het is momenteel niet mogelijk te zoeken naar personen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Conversations",,"Gesprekken",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Try @ mentioning the people you want to participate in this channel.",,"Gebruik @-meldingen voor de mensen die u wilt laten deelnemen in dit kanaal.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Remove from favorites",,"Verwijderen uit favorieten",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"More options for this channel",,"Meer opties voor dit kanaal",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your channels right now",,"De kanalen kunnen nu niet worden bijgewerkt",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't load this channel right now.",,"Kan dit kanaal momenteel niet laden.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"channel",,"kanaal",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your conversations right now",,"De gesprekken kunnen nu niet worden bijgewerkt",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Tabs",,"Tabbladen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Have private one-on-one and group conversations, and video calls.",,"Privégesprekken en groepsgesprekken en videogesprekken voeren.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Start a private chat.",,"Een privégesprek starten.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We're working on getting them back for you ASAP.",,"Ze worden zo snel mogelijk opgehaald.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't get your chats",,"Kan uw chats niet ophalen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your chats right now",,"De chats kunnen nu niet worden bijgewerkt",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't get your messages.",,"Kan uw berichten niet ophalen.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Chat",,"Chat",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't load your older messages right now",,"De oudere berichten kunnen nu niet worden geladen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"You",,"U",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your conversation right now",,"Het gesprek kan nu niet worden bijgewerkt",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Failed to send:",,"Verzenden mislukt:",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sending:",,"Verzenden:",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Chats",,"Chats",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We're getting things ready...",,"Alles wordt nu klaargemaakt...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Please give us a sec...",,"Een ogenblik geduld...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We'll be done soon...",,"Het duurt maar even...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Almost there...",,"Bijna klaar...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"CLEAR LIST",,"LIJST WISSEN",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Files",,"Bestanden",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Close",,"Sluiten",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Hi! This feature is not quite finished and is coming soon.",,"Hallo! Deze functie is nog niet helemaal af en is binnenkort beschikbaar.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"High importance",,"Hoge prioriteit",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Show picture picker",,"Fotokiezer weergeven",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Send",,"Verzenden",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Type your message here",,"Typ hier uw bericht",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Open contact card",,"Visitekaartje openen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"More options for this conversation",,"Meer opties voor dit gesprek",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Control message",,"Controlebericht",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sorry, we cannot access your content. Try again later.",,"Uw inhoud is momenteel niet beschikbaar. Probeer het later opnieuw.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Reply",,"Beantwoorden",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Failed to start the chat.",,"Kan het startgesprek niet starten.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"General",,"Algemeen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} removed {1} from the chat",,"{0} heeft {1} verwijderd uit de chat",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"This message has been deleted.",,"Dit bericht is verwijderd.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"This tab is deleted.",,"Dit tabblad is verwijderd.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Administrator has disabled chat for this user",,"De beheerder heeft chatten voor deze gebruiker uitgeschakeld",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Email",,"E-mail",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"To: {0}",,"Aan: {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"End call",,"Oproep beëindigen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Syncing",,"Synchroniseren",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Uh oh, something went wrong and we couldn't sync your data. Your content may not be available right now. Please try again later.",,"Er is iets verkeerd gegaan en uw gegevens kunnen niet worden gesynchroniseerd. Uw inhoud is nu mogelijk niet beschikbaar. Probeer het later opnieuw.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Wow, you have a lot of content! We're still syncing {0} item(s), but let's get you started.",,"Dat is heel wat inhoud. {0} items worden nog gesynchroniseerd, maar laten we aan de slag gaan.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We're sorry",,"Helaas",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sorry, your device is offline. Please try again later.",,"Uw apparaat is offline. Probeer het later opnieuw.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Export logs",,"Logboeken exporteren",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Tap the star to favorite or unfavorite a channel.",,"Tik op de ster om een kanaal aan uw favorieten toe te voegen of uit uw favorieten te verwijderen.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Tap the star to favorite or unfavorite a team.",,"Tik op de ster om een team toe te voegen aan uw favorieten of uit uw favorieten te verwijderen.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Cancel",,"Annuleren",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Feedback",,"Feedback",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Attach screenshot",,"Schermopname bijvoegen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
