PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"This report shows client building and subnet pairs which experienced firewall issues while connecting to the server in last two months",,"Dit rapport geeft een overzicht van combinaties van gebouwen en subnetten die gedurende de afgelopen twee maanden firewallproblemen hebben ondervonden bij het maken van verbinding met de server",,"Text",,"All",,"Online Device Pairing 2016",,""
"Filter: {DataFilterColumnName}",,"Filter: {DataFilterColumnName}",,"Text",,"All",,"Online Device Pairing 2016",,""
"Microsoft Call Quality Dashboard",,"Microsoft Dashboard Oproepkwaliteit",,"Text",,"All",,"Online Device Pairing 2016",,""
"It looks like your Office 365 or Skype for Business tenant was recently created. Please check back in 24 hours to activate the Call Quality Dashboard.",,"Uw Office 365- of Skype voor Bedrijven-tenant is recent gemaakt. Kom over 24 uur terug om het dashboard Oproepkwaliteit te activeren.",,"Text",,"All",,"Online Device Pairing 2016",,""
"Error: Column data size is too large at column number: {0}",,"Fout: kolomgegevens zijn te groot voor kolom met nummer: {0}",,"Text",,"All",,"Online Device Pairing 2016",,""
"Upload your information - Information you add will be visible to Microsoft engineers for support purposes",,"Uw gegevens uploaden - Informatie die u toevoegt, zijn voor de technici van Microsoft zichtbaar voor ondersteuningsdoeleinden",,"Text",,"All",,"Online Device Pairing 2016",,""
"Audio - Quality",,"Audio - kwaliteit",,"Text",,"All",,"Online Device Pairing 2016",,""
"Audio - Reliability",,"Audio - betrouwbaarheid",,"Text",,"All",,"Online Device Pairing 2016",,""
"Call Volume",,"Belvolume",,"Text",,"All",,"Online Device Pairing 2016",,""
"Media Failed %",,"% mislukte media",,"Text",,"All",,"Online Device Pairing 2016",,""
"Media Failed Volume",,"Volume mislukte media",,"Text",,"All",,"Online Device Pairing 2016",,""
"Media Succeeded Volume",,"Volume voltooide media",,"Text",,"All",,"Online Device Pairing 2016",,""
"Media Volume",,"Mediavolume",,"Text",,"All",,"Online Device Pairing 2016",,""
"Rating Count",,"Aantal beoordeeld",,"Text",,"All",,"Online Device Pairing 2016",,""
"Second Subnet",,"Tweede subnet",,"Text",,"All",,"Online Device Pairing 2016",,""
"Server-Client AppSharing Streams Buildings and Subnets",,"Gebouwen en subnetten met server-clientproblemen voor AppSharing-streams",,"Text",,"All",,"Online Device Pairing 2016",,""
"Server-Client Audio Streams Buildings and Subnets",,"Gebouwen en subnetten met server-clientproblemen voor audiostreams",,"Text",,"All",,"Online Device Pairing 2016",,""
"Server-Client VBSS Streams Buildings and Subnets",,"Gebouwen en subnetten met server-clientproblemen voor VBSS-streams",,"Text",,"All",,"Online Device Pairing 2016",,""
"Server-Client Video Streams Buildings and Subnets",,"Gebouwen en subnetten met server-clientproblemen voor videostreams",,"Text",,"All",,"Online Device Pairing 2016",,""
"media failed volume",,"volume mislukte media",,"Text",,"All",,"Online Device Pairing 2016",,""
"media succeeded volume",,"volume voltooide media",,"Text",,"All",,"Online Device Pairing 2016",,""
"media volume",,"mediavolume",,"Text",,"All",,"Online Device Pairing 2016",,""
