PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Tab Order",,"Tabvolgorde",,"None",,"All",,"Outlook Group",,""
"OK",,"OK",,"None",,"All",,"Outlook Group",,""
"Cancel",,"Annuleren",,"None",,"All",,"Outlook Group",,""
"Move &Up",,"Om&hoog",,"None",,"All",,"Outlook Group",,""
"Move &Down",,"Om&laag",,"None",,"All",,"Outlook Group",,""
"&Tab Order:",,"&Tabvolgorde:",,"None",,"All",,"Outlook Group",,""
"Customize Control",,"Besturingselement aanpassen",,"None",,"All",,"Outlook Group",,""
"&Load Picture...",,"Afbeelding &laden...",,"None",,"All",,"Outlook Group",,""
"&Edit Picture...",,"Afbeelding &bewerken...",,"None",,"All",,"Outlook Group",,""
"Preview",,"Voorbeeld",,"None",,"All",,"Outlook Group",,""
"&Tool Tip Text:",,"Tekst &knopinfo:",,"None",,"All",,"Outlook Group",,""
"Additional Controls",,"Extra besturingselementen",,"None",,"All",,"Outlook Group",,""
"Show",,"Weergeven",,"None",,"All",,"Outlook Group",,""
"&Selected Items Only",,"Alleen ge&selecteerde items",,"None",,"All",,"Outlook Group",,""
"Name",,"Naam",,"None",,"All",,"Outlook Group",,""
"&Available Controls:",,"B&eschikbare besturingselementen:",,"None",,"All",,"Outlook Group",,""
"Location",,"Locatie",,"None",,"All",,"Outlook Group",,""
"Path",,"Pad",,"None",,"All",,"Outlook Group",,""
"Rename",,"Naam wijzigen",,"None",,"All",,"Outlook Group",,""
"&Caption:",,"&Bijschrift:",,"None",,"All",,"Outlook Group",,""
"&Accelerator Key:",,"Snelt&oets:",,"None",,"All",,"Outlook Group",,""
"Control &Tip Text:",,"&Tiptekst besturingselement:",,"None",,"All",,"Outlook Group",,""
"Properties",,"Eigenschappen",,"None",,"All",,"Outlook Group",,""
"&Apply",,"&Toepassen",,"None",,"All",,"Outlook Group",,""
"Additional Controls...",,"Extra besturingselementen...",,"None",,"All",,"Outlook Group",,""
"Delete Item",,"Item verwijderen",,"None",,"All",,"Outlook Group",,""
"Customize Item...",,"Item aanpassen...",,"None",,"All",,"Outlook Group",,""
"Insert",,"Invoegen",,"None",,"All",,"Outlook Group",,""
"Delete",,"Verwijderen",,"None",,"All",,"Outlook Group",,""
"Rename...",,"Naam wijzigen...",,"None",,"All",,"Outlook Group",,""
"Move...",,"Verplaatsen...",,"None",,"All",,"Outlook Group",,""
"New Page",,"Nieuwe pagina",,"None",,"All",,"Outlook Group",,""
"Delete Page",,"Pagina verwijderen",,"None",,"All",,"Outlook Group",,""
"Import Page...",,"Pagina importeren...",,"None",,"All",,"Outlook Group",,""
"Export Page...",,"Pagina exporteren...",,"None",,"All",,"Outlook Group",,""
"What's This?",,"Wat is dit?",,"None",,"All",,"Outlook Group",,""
"Bottoms",,"Onder",,"None",,"All",,"Outlook Group",,""
"Centers",,"Centrum",,"None",,"All",,"Outlook Group",,""
"Lefts",,"Links",,"None",,"All",,"Outlook Group",,""
"Rights",,"Rechts",,"None",,"All",,"Outlook Group",,""
"to Grid",,"Op raster",,"None",,"All",,"Outlook Group",,""
"Tops",,"Boven",,"None",,"All",,"Outlook Group",,""
"Middles",,"Midden",,"None",,"All",,"Outlook Group",,""
"Bottom",,"Onderkant",,"None",,"All",,"Outlook Group",,""
"Right",,"Rechts",,"None",,"All",,"Outlook Group",,""
"Bring Forward",,"Naar voren",,"None",,"All",,"Outlook Group",,""
"Bring to Front",,"Naar voorgrond",,"None",,"All",,"Outlook Group",,""
"Horizontal",,"Horizontaal",,"None",,"All",,"Outlook Group",,""
"Vertical",,"Verticaal",,"None",,"All",,"Outlook Group",,""
"View Code...",,"Programmacode weergeven...",,"None",,"All",,"Outlook Group",,""
"Copy",,"Kopiëren",,"None",,"All",,"Outlook Group",,""
"Cut",,"Knippen",,"None",,"All",,"Outlook Group",,""
"Group",,"Groeperen",,"None",,"All",,"Outlook Group",,""
