PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"© 2017 Skype and/or Microsoft",,"© 2017 Skype en/of Microsoft",,"None",,"All",,"Skype - Linux",,""
"This program is protected by copyright law and international treaties. Unauthorized reproduction or distribution of this program, or any portions of it, may result in severe civil and criminal penalties, and will be prosecuted to the maximum extent possible under the law.",,"Dit programma wordt beschermd door auteursrechtwetten en internationale verdragen. Onrechtmatige verveelvoudiging of distributie van dit programma of een gedeelte ervan is verboden en strafbaar, en zal met alle beschikbare juridische middelen worden bestreden.",,"None",,"All",,"Skype - Linux",,""
"for Linux Beta",,"voor Linux Beta",,"None",,"All",,"Skype - Linux",,""
"Patents Pending. The Skype name, associated trade marks and logos, and the “S” logo are trade marks of Skype.",,"Lopende patentaanvragen. De naam Skype, geassocieerde handelsmerken en logo's, en het 'S'-logo zijn handelsmerken van Skype.",,"None",,"All",,"Skype - Linux",,""
"Version: {version}",,"Versie: {version}",,"None",,"All",,"Skype - Linux",,""
"Skype for Linux Beta",,"Skype voor Linux Beta",,"None",,"All",,"Skype - Linux",,""
"Sorry, this version of Skype is not supported anymore.",,"Deze versie van Skype wordt niet meer ondersteund.",,"None",,"All",,"Skype - Linux",,""
"Go to Community Forum",,"Naar het communityforum",,"None",,"All",,"Skype - Linux",,""
"Reports will no longer be collected until you re-enable them. Are you sure you want to disable diagnostic and error reports? You can find all logs in folder {logsPath}",,"Rapporten worden niet langer verzameld totdat je ze weer inschakelt. Weet je zeker dat je diagnose- en foutrapporten wilt uitschakelen? Je vindt alle logboeken in de map {logsPath}",,"None",,"All",,"Skype - Linux",,""
"No",,"Nee",,"None",,"All",,"Skype - Linux",,""
