PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"contact info",,"contactinfo",,"None",,"All",,"Skype - Mac",,""
"profile picture",,"profielafbeelding",,"None",,"All",,"Skype - Mac",,""
"About",,"Over",,"None",,"All",,"Skype - Mac",,""
"Multiline Label",,"Meerregelig label",,"None",,"All",,"Skype - Mac",,""
"Label",,"Label",,"None",,"All",,"Skype - Mac",,""
"mood message",,"stemmingsbericht",,"None",,"All",,"Skype - Mac",,""
""Label - <a href=""http://apple.com"">Test</a>"",,""Label - <a href=""http://apple.com"">Test</a>"",,"None",,"All",,"Skype - Mac",,""
"Lists",,"Lijsten",,"None",,"All",,"Skype - Mac",,""
"Location",,"Locatie",,"None",,"All",,"Skype - Mac",,""
"Time",,"Tijd",,"None",,"All",,"Skype - Mac",,""
"Homepage",,"Homepage",,"None",,"All",,"Skype - Mac",,""
"Gender",,"Geslacht",,"None",,"All",,"Skype - Mac",,""
"Birthdate",,"Geboortedatum",,"None",,"All",,"Skype - Mac",,""
"Language",,"Taal",,"None",,"All",,"Skype - Mac",,""
"Back",,"Terug",,"None",,"All",,"Skype - Mac",,""
"Add Contact",,"Voeg contact toe",,"None",,"All",,"Skype - Mac",,""
"Copy",,"Kopieer",,"None",,"All",,"Skype - Mac",,""
"favorite",,"favoriet",,"None",,"All",,"Skype - Mac",,""
"Contacts",,"Contacten",,"None",,"All",,"Skype - Mac",,""
"Item 3",,"Onderdeel 3",,"None",,"All",,"Skype - Mac",,""
"Other",,"Andere",,"None",,"All",,"Skype - Mac",,""
"Box",,"Box",,"None",,"All",,"Skype - Mac",,""
"Item 2",,"Onderdeel 2",,"None",,"All",,"Skype - Mac",,""
"Skype Certified",,"Skype Certified",,"None",,"All",,"Skype - Mac",,""
"Home",,"Privé",,"None",,"All",,"Skype - Mac",,""
"Mobile",,"Mobiel",,"None",,"All",,"Skype - Mac",,""
"Item 1",,"Onderdeel 1",,"None",,"All",,"Skype - Mac",,""
"Skype",,"Skype",,"None",,"All",,"Skype - Mac",,""
"Office",,"Werk",,"None",,"All",,"Skype - Mac",,""
"Window",,"Venster",,"None",,"All",,"Skype - Mac",,""
"Text Cell",,"Text Cell",,"None",,"All",,"Skype - Mac",,""
"Send Contacts",,"Verstuur contacten",,"None",,"All",,"Skype - Mac",,""
"Add contacts you would like to send:",,"Voeg contacten toe die u wilt versturen:",,"None",,"All",,"Skype - Mac",,""
"Send",,"Stuur",,"None",,"All",,"Skype - Mac",,""
