PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Open the more menu",,"Open het menu Meer",,"None",,"All",,"Skype - iOS",,""
"More menu",,"Meer-menu",,"None",,"All",,"Skype - iOS",,""
"Cancel",,"Annuleer",,"None",,"All",,"Skype - iOS",,""
"Recent calls and messages will appear here.",,"Recente gesprekken en berichten verschijnen hier.",,"None",,"All",,"Skype - iOS",,""
"Search",,"Zoek",,"None",,"All",,"Skype - iOS",,""
"Hide options",,"Verberg opties",,"None",,"All",,"Skype - iOS",,""
"Show options",,"Toon opties",,"None",,"All",,"Skype - iOS",,""
"Done",,"Gereed",,"None",,"All",,"Skype - iOS",,""
"%lu %@ %lu",,"%lu %@ %lu",,"None",,"All",,"Skype - iOS",,""
"Copied",,"Gekopieerd",,"None",,"All",,"Skype - iOS",,""
"Copying",,"Kopiëren...",,"None",,"All",,"Skype - iOS",,""
"Failed",,"Mislukt",,"None",,"All",,"Skype - iOS",,""
"Preparing",,"Voorbereiden...",,"None",,"All",,"Skype - iOS",,""
"Saved",,"Bewaard",,"None",,"All",,"Skype - iOS",,""
"Saving",,"Opslaan...",,"None",,"All",,"Skype - iOS",,""
"Search Giphy",,"Zoek Giphy",,"None",,"All",,"Skype - iOS",,""
"& %d others",,"en %d anderen",,"None",,"All",,"Skype - iOS",,""
"%1$d out of %2$d selected",,"%1$d van %2$d geselecteerd",,"None",,"All",,"Skype - iOS",,""
"& %d others",,"en %d andere",,"None",,"All",,"Skype - iOS",,""
"Skype version",,"Skype-versie",,"None",,"All",,"Skype - iOS",,""
