PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Play",,"Afspelen",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Open Custom link",,"Aangepaste link openen",,"None",,"All",,"Skype Cast Attendee 2015",,""
"An error occurred while processing your request.",,"Er is een fout opgetreden tijdens het verwerken van de aanvraag.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Not started",,"Niet gestart",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Leave",,"Verlaten",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Right panel tab for ",,"Rechterdeelvenstertabblad voor ",,"None",,"All",,"Skype Cast Attendee 2015",,""
"The broadcast will start in a moment",,"De uitzending wordt over enkele ogenblikken gestart",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Click to toggle the navigation dropdown menu",,"Klik om het vervolgkeuzemenu voor navigatie in of uit te schakelen",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Live",,"Live",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Yammer",,"Yammer",,"None",,"All",,"Skype Cast Attendee 2015",,""
"We're connecting you to the broadcast",,"We verbinden u met de uitzending",,"None",,"All",,"Skype Cast Attendee 2015",,""
"The broadcast wasn’t found.",,"De uitzending is niet gevonden.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Sign Out",,"Afmelden",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Pulse",,"Pulse",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Click to toggle the right panel",,"Klik om het rechterpaneel te tonen of te verbergen",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Captions",,"Bijschriften",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Skype for Business",,"Skype voor Bedrijven",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Please enable cookies in your browser settings to ensure all functionality is available.",,"Schakel cookies in uw browserinstellingen in zodat alle functionaliteit beschikbaar is.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"We're getting the video recording",,"De video-opname ophalen...",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Join",,"Deelnemen",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Open Support link",,"Ondersteuningslink openen",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Ended",,"Beëindigd",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Pause",,"Onderbreken",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Privacy & cookies",,"Privacy en cookies",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Support",,"Ondersteuning",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Error :(",,"Fout :(",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Q&A",,"Vragen en antwoorden&A",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Please install or enable Adobe Flash Player",,"Installeer Adobe Flash Player of schakel deze in",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Captions Off",,"Bijschriften uit",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Get Adobe Flash player",,"Download Adobe Flash Player",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Selected",,"Geselecteerd",,"None",,"All",,"Skype Cast Attendee 2015",,""
"An unknown error has occurred.",,"Er is een onbekende fout opgetreden.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Meeting series",,"Reeks vergaderingen",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Anonymous User",,"Anonieme gebruiker",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Bottom panel tab for ",,"Onderste deelvenstertabblad voor ",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Sorry, you’re not allowed to attend this meeting. Please contact the meeting organizer.",,"U mag niet deelnemen aan deze vergadering. Neem contact op met de organisator.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Meeting Broadcast",,"Meeting Broadcast",,"None",,"All",,"Skype Cast Attendee 2015",,""
