PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Cancel",,"Annuleren",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Select an app for the right panel",,"Selecteer een app voor het rechterdeelvenster",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Add a start time",,"Voeg een begintijd toe",,"None",,"All",,"Skype Cast Organizer 2016",,""
"This meeting’s video was published to Office 365",,"De videobeelden van deze vergadering zijn gepubliceerd naar Office 365",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Checking a few things. We'll get your meetings in a bit.",,"Er worden enkele dingen gecontroleerd. Uw vergaderingen worden over enkele momenten weergegeven.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Attendee page settings",,"Instellingen van pagina voor genodigden",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Transcription and translation is enabled",,"Transcriptie en vertaling is ingeschakeld",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The start time is later than the end time.",,"De begintijd is later dan de eindtijd.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Note: captions are currently not available in full screen video",,"Opmerking: bijschriften zijn momenteel niet beschikbaar in video op volledig scherm",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Create Outlook invitation",,"Outlook-uitnodiging maken",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Video title",,"Videotitel",,"None",,"All",,"Skype Cast Organizer 2016",,""
"only attendees listed below can join the meeting",,"alleen de onderstaande genodigden kunnen deelnemen aan de vergadering",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting details couldn't be retrieved.",,"De details van de vergadering kunnen niet worden opgehaald.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Delete",,"Verwijderen",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Recover this meeting",,"Deze vergadering herstellen",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting request is empty.",,"Het vergaderverzoek is leeg.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Create a video recording for download",,"Een video-opname maken die kan worden gedownload",,"None",,"All",,"Skype Cast Organizer 2016",,""
"BroadcastMeeting.ics",,"BroadcastMeeting.ics",,"None",,"All",,"Skype Cast Organizer 2016",,""
"View published video",,"Gepubliceerde videobeelden bekijken",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Edit meeting details",,"Details van de vergadering bewerken",,"None",,"All",,"Skype Cast Organizer 2016",,""
"You don't have any meetings this month.",,"Er staan deze maand geen vergaderingen gepland.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Delete this meeting?",,"Deze vergadering verwijderen?",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The attendee is empty",,"De genodigde is leeg",,"None",,"All",,"Skype Cast Organizer 2016",,""
"You don't have permission to create meetings",,"U bent niet gemachtigd om vergaderingen te maken",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Video recording was enabled",,"Video-opname maken is ingeschakeld",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The support code couldn't be created.",,"De ondersteuningscode kan niet worden gemaakt.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"No custom link",,"Er zijn geen aangepaste links",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Done",,"Gereed",,"None",,"All",,"Skype Cast Organizer 2016",,""
"are already in the event team",,"zitten al in het gebeurtenisteam",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Give attendees access to content related to this meeting or provide contact links.",,"Geef genodigden toegang tot inhoud die bij deze vergadering hoort of zorg voor contactlinks.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The account information wasn't found.",,"De accountgegevens zijn niet gevonden.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Empty ETag",,"Lege ETag",,"None",,"All",,"Skype Cast Organizer 2016",,""
"One or more event team member' email addresses are empty",,"Een of meer e-mailadressen van leden van het gebeurtenisteam zijn leeg",,"None",,"All",,"Skype Cast Organizer 2016",,""
"We have exciting news--our production environment is ready for new broadcasts! ",,"Goed nieuws: de productie-omgeving is klaar voor nieuwe uitzendingen!",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Reports",,"Rapporten",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Couldn't find:",,"Kan deze niet vinden:",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Access",,"Toegang",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Right panel app",,"App in het rechterdeelvenster",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Not started",,"Niet gestart",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Getting the link to the meeting recording...",,"De koppeling naar de opname van de vergadering ophalen...",,"None",,"All",,"Skype Cast Organizer 2016",,""
"You can customize the attendee page to include audience participation apps and add supporting links.",,"U kunt de pagina met aanwezigen aanpassen om apps voor publieksdeelname en ondersteuningslinks toe te voegen.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting name is too long. Please shorten it.",,"De naam van de vergadering is te lang. Gebruik een kortere naam.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"email or alias of each event team member",,"het e-mailadres of de alias van elk lid van het gebeurtenisteam",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec",,"Jan,Feb,Mrt,Apr,Mei,Jun,Jul,Aug,Sep,Okt,Nov,Dec",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Pulse ID",,"Pulse-id",,"None",,"All",,"Skype Cast Organizer 2016",,""
"appears below the video player.",,"wordt onder de videospeler weergegeven.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Media distribution",,"Mediadistributie",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting resource couldn't be retrieved.",,"De vergaderbron kan niet worden opgehaald.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The transcription couldn't be retrieved.  Please verify that someone was speaking and unmuted during the broadcast.",,"De transcriptie kan niet worden opgehaald. Controleer of er iemand aan het spreken was en of het geluid niet werd gedempt tijdens de uitzending.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Translate the broadcast into:",,"De uitzending vertalen naar:",,"None",,"All",,"Skype Cast Organizer 2016",,""
"This will still be the place to access recordings and reports for meetings scheduled in the past, ",,"Hier kunt u nog steeds opnamen en rapporten vinden van vergaderingen die in het verleden zijn gepland, ",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Invalid email or alias",,"Ongeldig e-mailadres of alias",,"None",,"All",,"Skype Cast Organizer 2016",,""
