PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"a month",,"een maand",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a minute",,"een minuut",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d months",,"%d maanden",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d minutes",,"%d minuten",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a day",,"een dag",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d days",,"%d dagen",,"None",,"All",,"Skype Cast Q&A 2016",,""
"in %s",,"over %s",,"None",,"All",,"Skype Cast Q&A 2016",,""
"an hour",,"een uur",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d hours",,"%d uur",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%s ago",,"%s geleden",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a few seconds",,"een paar seconden",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a year",,"een jaar",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d years",,"%d jaar",,"None",,"All",,"Skype Cast Q&A 2016",,""
"We are unable to authorize you for this Q&A. Kindly logout and login again with the correct account.",,"U bent niet gemachtigd voor deze vraag- en antwoordsessie. Meld u af en meld u opnieuw aan met het juiste account.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Unable to find the Q&A.",,"De vraag- en antwoordsessie is niet gevonden.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"add an answer",,"een antwoord toevoegen",,"None",,"All",,"Skype Cast Q&A 2016",,""
"all",,"alle",,"None",,"All",,"Skype Cast Q&A 2016",,""
"announce",,"aankondigen",,"None",,"All",,"Skype Cast Q&A 2016",,""
"anonymous user",,"anonieme gebruiker",,"None",,"All",,"Skype Cast Q&A 2016",,""
"announcement",,"aankondiging",,"None",,"All",,"Skype Cast Q&A 2016",,""
"message sent.",,"bericht verzonden.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"question added.",,"vraag toegevoegd.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"question broadcasted.",,"vraag uitgezonden.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"answer.",,"antwoord.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"response added.",,"antwoord toegevoegd.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"total question count.",,"totaal aantal vragen.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"unread question count.",,"aantal ongelezen vragen.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"this message was broadcasted",,"dit bericht is uitgezonden",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Question from {0}",,"Vraag van {0}",,"None",,"All",,"Skype Cast Q&A 2016",,""
"reply from {0}",,"antwoord van {0}",,"None",,"All",,"Skype Cast Q&A 2016",,""
