PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Your group name must consist of more than just identical letters",,"Je groepsnaam mag niet alleen uit identieke letters bestaan",,"None",,"All",,"Skype Manager",,""
"Group name is too long (max length 40 characters)",,"Groepsnaam is te lang (max. 40 tekens)",,"None",,"All",,"Skype Manager",,""
"Your group name cannot contain only numbers",,"Je groepsnaam mag niet alleen uit cijfers bestaan",,"None",,"All",,"Skype Manager",,""
"Group name is too short (min length 2 characters)",,"Groepsnaam is te kort (min. 2 tekens)",,"None",,"All",,"Skype Manager",,""
"Due to recent changes to Saudi Arabian tax requirements, from 1st January 2018 Skype will include Value Added Tax (VAT) for Saudi Arabia customers purchases of Skype paid products.",,"Vanwege recente wijzigingen in de belastingsvereisten in Saudi-Arabië heft Skype vanaf 1 januari 2018 btw over betaalde Skype-producten voor klanten in Saudi-Arabië.",,"None",,"All",,"Skype Manager",,""
"Due to recent changes to United Arab Emirates tax requirements, from 1st January 2018 Skype will include Value Added Tax (VAT) for United Arab Emirates customers purchases of Skype paid products.",,"Vanwege recente wijzigingen in de belastingsvereisten in de Verenigde Arabische Emiraten heft Skype vanaf 1 januari 2018 btw over betaalde Skype-producten voor klanten in de Verenigde Arabische Emiraten.",,"None",,"All",,"Skype Manager",,""
"Allocated to",,"Toegewezen aan",,"None",,"All",,"Skype Manager",,""
"Amount",,"Bedrag",,"None",,"All",,"Skype Manager",,""
"Group",,"Groep",,"None",,"All",,"Skype Manager",,""
"Destination",,"Bestemming",,"None",,"All",,"Skype Manager",,""
