PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Chat",,"Chat",,"Text",,"All",,"SkypeSpaces - iOS",,""
"This message has been edited.",,"Dit bericht is aangepast.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Go to {0} team,  {1} channel",,"Ga naar team {0}, kanaal {1}",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Channel was mentioned",,"Kanaal is genoemd",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Team was mentioned",,"Team is vermeld",,"Text",,"All",,"SkypeSpaces - iOS",,""
"You were mentioned",,"U bent genoemd",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message copied",,"Bericht gekopieerd",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message deleted",,"Bericht verwijderd",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message liked",,"Er zijn vind-ik-leuks voor dit bericht",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message unliked",,"Geen vind-ik-leuks meer voor dit bericht",,"Text",,"All",,"SkypeSpaces - iOS",,""
"This user has been muted.",,"Deze gebruiker is gedempt.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"User muted",,"Gebruiker gedempt",,"Text",,"All",,"SkypeSpaces - iOS",,""
"User unmuted",,"Dempen van gebruiker opgeheven",,"Text",,"All",,"SkypeSpaces - iOS",,""
