PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Oops page showing due to debug flag",,"Oeps-pagina wordt weergegeven vanwege vlag voor foutopsporing",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"D'oh! Something went wrong...",,"Er is iets misgegaan...",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Your app has been successfully updated to version {0} on {1}.",,"De app is op {1} bijgewerkt naar versie {0}.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"App Updated",,"App bijgewerkt",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Could not connect to Account Provider. Please check your connection and try again.",,"Kan geen verbinding maken met de accountprovider. Controleer uw verbinding en probeer het opnieuw.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Unexpected user credentials. Please try to log in again.",,"Onverwachte gebruikersreferenties. Probeer u opnieuw aan te melden.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"The token received is not valid. Please try again later.",,"Het ontvangen token is ongeldig. Probeer het later opnieuw.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication could not be completed due to an app state issue. Please try again.",,"Verificatie kan niet worden voltooid vanwege een probleem met de appstatus. Probeer het opnieuw.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication Error",,"Verificatiefout",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Received an expired authentication token. Please try to log in again.",,"Er is een verlopen verificatietoken ontvangen. Probeer u opnieuw aan te melden.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Intended authentication failure due to user setting.",,"Gewenste verificatie is mislukt vanwege een gebruikersinstelling.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"App is missing important authentication settings. Please make sure to use the latest version.",,"Er ontbreken belangrijke verificatie-instellingen voor de app. Zorg ervoor dat u de nieuwste versie gebruikt.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"The Account Provider encountered an error while authenticating.",,"Er is tijdens het verifiëren een fout opgetreden bij de accountprovider.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
