PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Data from {0}",,"Gegevens uit {0}",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Delayed 15 minutes.",,"15 minuten vertraagd.",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"More details",,"Meer details",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"News",,"Nieuws",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"No results found.",,"Geen resultaten gevonden.",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"After hours",,"Buiten kantooruren",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Percentage change",,"Procentuele verandering",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Price change",,"Prijswijziging",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"When",,"Wanneer",,"Text",,"All",,"Skype Spaces for Web 2016",,""
""<a href=""https://go.microsoft.com/fwlink/?linkid=849660"">Image may be subject to copyright</a>"",,""<a href=""https://go.microsoft.com/fwlink/?linkid=849660"">Er geldt mogelijk copyright op de afbeelding</a>"",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Image",,"Afbeelding",,"Text",,"All",,"Skype Spaces for Web 2016",,""
""<a href=""{0}"">View original</a>"",,""<a href=""{0}"">Origineel weergeven</a>"",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Sorry, we couldn't find anything matching your search term.",,"Er zijn geen resultaten gevonden voor uw zoekterm.",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Information from {0}",,"Informatie van {0}",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Bing Maps",,"Bing Kaarten",,"Text",,"All",,"Skype Spaces for Web 2016",,""
