PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"About Skype TX",,"Over Skype TX",,"Button",,"All",,"Skype TX Client V2",,""
"Switch user",,"Andere gebruiker",,"Button",,"All",,"Skype TX Client V2",,""
"My Account online",,"Mijn account online",,"Button",,"All",,"Skype TX Client V2",,""
"Exit Skype TX",,"Skype TX afsluiten",,"Button",,"All",,"Skype TX Client V2",,""
"Sign in with saved user credentials",,"Aanmelden met opgeslagen gebruikersreferenties",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Remove user and forget saved credentials",,"Gebruiker verwijderen en opgeslagen referenties vergeten",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Main Menu",,"Hoofdmenu",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Sign in with a different username and password",,"Aanmelden met een andere gebruikersnaam en wachtwoord",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"For more information about",,"Ga voor meer informatie over",,"Text",,"All",,"Skype TX Client V2",,""
"using Skype in Media visit",,"het gebruik van Skype in Media gaat u naar",,"Text",,"All",,"Skype TX Client V2",,""
"media.skype.com",,"media.skype.com",,"Text",,"All",,"Skype TX Client V2",,""
"Broadcast Terms of Service",,"Servicevoorwaarden voor Broadcast",,"Text",,"All",,"Skype TX Client V2",,""
"Privacy Statement",,"Privacyverklaring",,"Text",,"All",,"Skype TX Client V2",,""
"Find out more about Skype in Media",,"Meer weten over Skype in Media",,"Text",,"All",,"Skype TX Client V2",,""
"Heartbeat (Skype Status)",,"Hartslag (Skype-status)",,"Text",,"All",,"Skype TX Client V2",,""
"View Privacy Statement",,"Privacyverklaring weergeven",,"Text",,"All",,"Skype TX Client V2",,""
""<run Uid=""Run_10"">Skype TX is a specialized application for the broadcast industry and does not contain the full set of features provided by Skype. For full Skype functionality, please download the latest version at</run> <a Uid=""Hyperlink_5""><run Uid=""Run_11""></run></a>"",,""<run Uid=""Run_10"">Skype TX is een gespecialiseerde toepassing voor de omroepindustrie en bevat niet de volledige set functies van Skype. Voor de volledige functionaliteit van Skype downloadt u de nieuwste versie van</run> <a Uid=""Hyperlink_5""><run Uid=""Run_11""></run></a>"",,"Text",,"All",,"Skype TX Client V2",,""
""<a Uid=""Hyperlink_4""><run Uid=""Run_9""></run></a>"",,""<a Uid=""Hyperlink_4""><run Uid=""Run_9""></run></a>"",,"Text",,"All",,"Skype TX Client V2",,""
"Start Over",,"Opnieuw beginnen",,"Text",,"All",,"Skype TX Client V2",,""
"Choose an account to sign in:",,"Kies een account om aan te melden:",,"Text",,"All",,"Skype TX Client V2",,""
"Other user...",,"Andere gebruiker...",,"Text",,"All",,"Skype TX Client V2",,""
""<a Uid=""Hyperlink_2""><run Uid=""Run_7""></run></a>"",,""<a Uid=""Hyperlink_2""><run Uid=""Run_7""></run></a>"",,"Text",,"All",,"Skype TX Client V2",,""
""<a Uid=""HyperlinkPrivacy""><run Uid=""Run_5""></run></a>"",,""<a Uid=""HyperlinkPrivacy""><run Uid=""Run_5""></run></a>"",,"Text",,"All",,"Skype TX Client V2",,""
"Signing in to Skype...",,"Aanmelden bij Skype...",,"Text",,"All",,"Skype TX Client V2",,""
"© Microsoft 2015-2018",,"© Microsoft 2015-2018",,"Text",,"All",,"Skype TX Client V2",,""
"Configuration",,"Configuratie",,"Text",,"All",,"Skype TX Client V2",,""
"Channel View",,"Kanaalweergave",,"Text",,"All",,"Skype TX Client V2",,""
"Full",,"Vol",,"Text",,"All",,"Skype TX Client V2",,""
"Compact",,"Compact",,"Text",,"All",,"Skype TX Client V2",,""
"End User License Agreement",,"Gebruiksrechtovereenkomst",,"Button",,"All",,"Skype TX Client V2",,""
"Return to About SkypeTX screen",,"Teruggaan naar het scherm Over SkypeTX",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Version",,"Versie",,"Text",,"All",,"Skype TX Client V2",,""
"Review EULA",,"Gebruiksrechtovereenkomst weergeven",,"Text",,"All",,"Skype TX Client V2",,""
"© 2015-2018 Skype and/or Microsoft",,"© 2015-2018 Skype en/of Microsoft",,"Text",,"All",,"Skype TX Client V2",,""
