PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"What's New",,"Nieuwe functies",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"All rights reserved.",,"Alle rechten voorbehouden.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"About this version",,"Over deze versie",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"About",,"Over",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Accept incoming call with audio only",,"Inkomende oproep met alleen audio accepteren",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Accept with audio only",,"Accepteren met alleen audio",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Accept incoming call with video",,"Inkomende oproep met video accepteren",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Accept with video",,"Accepteren met video",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
""Alternatively, click ""Create Account"" to create a new Microsoft account."",,"Je kunt ook op Account maken klikken om een nieuw Microsoft-account te maken.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"No Microsoft account is associated with the email provided. Please check and try again.",,"Er is geen Microsoft-account gekoppeld aan het opgegeven e-mailadres. Controleer het e-mailadres en probeer het opnieuw.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Forgot to include someone? No problem - simply add them to the chat here",,"Iemand vergeten? Geen probleem. Voeg ze hier eenvoudig toe aan de chat",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Add more people",,"Meer personen toevoegen",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Save to local address book",,"Opslaan in een lokaal adresboek",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Another user has enabled Skype diagnostic and error reports on this device. These reports are used to troubleshoot issues and may contain personal information such as your name, profile details and chat content.\r\n\r\nIt is recommended that you turn off these reports if you're not experiencing any issues as reports are continuously collected in the background and may affect performance.\r\n\r\nWould you like to disable diagnostic and error reports? Skype will quit and reports will be disabled the next time you launch the app.",,"Diagnose- en foutrapporten van Skype zijn op dit apparaat ingeschakeld door een andere gebruiker. Deze rapporten worden gebruikt voor probleemoplossing en kunnen persoonlijke gegevens zoals uw naam, profielinformatie en chatinhoud bevatten.\r\n\r\nU kunt deze rapporten het beste uitschakelen als u geen problemen ondervindt. Rapportverzameling gaat door op de achtergrond en dit kan de prestaties beïnvloeden.\r\n\r\nWilt u diagnose- en foutrapporten uitschakelen? Skype wordt afgesloten en de volgende keer dat u de app start, zijn de rapporten uitgeschakeld.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Are you sure you want to disable diagnostic and error reports?\r\n    \r\nSkype will automatically close and reports will be disabled the next time you launch the app.",,"Weet u zeker dat u diagnose- en foutrapporten wilt uitschakelen?\r\n    \r\nSkype wordt automatisch afgesloten en rapporten worden uitgeschakeld tot de volgende keer dat u de app start.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Troubleshoot issues you have with Skype by sending diagnostic and error reports to Microsoft. These reports are used to diagnose problems but may contain personal information such as your name, profile details and chat content.\r\n    \r\nIt is recommended that you turn off these reports after you've finished troubleshooting your issue as reports are continuously collected in the background and may affect performance.\r\n\r\nWould you like to enable diagnostic and error reports? Skype will automatically close and reports will be enabled the next time you launch the app.",,"Los problemen met Skype op door diagnose- en foutrapporten naar Microsoft te verzenden. Deze rapporten worden gebruikt om problemen vast te stellen, maar kunnen persoonlijke gegevens zoals uw naam, profielinformatie en chatinhoud bevatten.\r\n    \r\nU kunt deze rapporten het beste uitschakelen nadat u het probleem hebt vastgesteld omdat rapportverzameling voortdurend doorgaat op de achtergrond en dit de prestaties kan beïnvloeden.\r\n\r\nWilt u diagnose- en foutrapporten inschakelen? Skype wordt automatisch afgesloten en de volgende keer dat u de app start, zijn de rapporten ingeschakeld.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"{0} at {1}",,"{0} om {1}",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"No notifications",,"Geen meldingen",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"{0} new notifications",,"{0} nieuwe meldingen",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"1 new notification",,"1 nieuwe melding",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"No new notifications",,"Geen nieuwe meldingen",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
