PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Launching Skype for Business Client",,"Skype voor Bedrijven Client starten",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We couldn’t connect you to the event. This may be temporary. Please check with your event organizer if this continues to happen.",,"U kunt geen verbinding maken met de gebeurtenis. Dit is mogelijk tijdelijk. Neem contact op met de organisator van de gebeurtenis als dit probleem zich blijft voordoen.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"to manage the event",,"om de gebeurtenis te beheren",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Join Meeting",,"Deelnemen aan de vergadering",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The link you are using to join the event isn’t valid. Please check with your event organizer.",,"De koppeling die u gebruikt om deel te nemen aan de gebeurtenis is niet geldig. Neem contact op met de organisator.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Invalid Name or Email address",,"Ongeldige naam of e-mailadres",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Join The Meeting",,"Deelnemen aan de vergadering",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Microsoft Corporation. All rights reserved.",,"Microsoft Corporation. Alle rechten voorbehouden.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We are having trouble helping you join as Event team member.",,"U kunt niet deelnemen als lid van het gebeurtenisteam.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We are having trouble activating broadcast meeting.",,"De uitgezonden vergadering kan niet worden geactiveerd.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
