PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"about",,"over",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"About third party components",,"Over onderdelen van derden",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Too many results; try refining your search.",,"Te veel resultaten. Verfijn de zoekactie.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"We can't connect to the server. Please try again later.",,"Er kan geen verbinding worden gemaakt met de server. Probeer het later opnieuw.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"No results",,"Geen resultaten",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Please sign in to search the company directory.",,"Meld u aan om te zoeken in de adreslijst van het bedrijf.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Searching the company directory...",,"Zoeken in bedrijfsadreslijst...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Accept",,"Accepteren",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Important",,"Belangrijk",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Sensitive",,"Gevoelig",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Unread message",,"Ongelezen bericht",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Select status",,"Status selecteren",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Swipe down to dismiss",,"Veeg omlaag om te negeren",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"turn on Bluetooth",,"Bluetooth inschakelen",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
