PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"In Progress",,"Wordt uitgevoerd",,"None",,"All",,"Skype for Business for iOS",,""
"No thanks, continue to calendar",,"Nee bedankt, ga door naar de agenda",,"None",,"All",,"Skype for Business for iOS",,""
"Get Outlook for iOS",,"Download Outlook voor iOS",,"None",,"All",,"Skype for Business for iOS",,""
"Outlook for iOS",,"Outlook voor iOS",,"None",,"All",,"Skype for Business for iOS",,""
"Use Outlook to access all your Skype Meetings with just a tap",,"Gebruik Outlook voor snelle toegang tot al uw Skype-vergaderingen",,"None",,"All",,"Skype for Business for iOS",,""
"days",,"dagen",,"None",,"All",,"Skype for Business for iOS",,""
"day",,"dag",,"None",,"All",,"Skype for Business for iOS",,""
"hours",,"uur",,"None",,"All",,"Skype for Business for iOS",,""
"hour",,"uur",,"None",,"All",,"Skype for Business for iOS",,""
"minutes",,"minuten",,"None",,"All",,"Skype for Business for iOS",,""
"minute",,"minuut",,"None",,"All",,"Skype for Business for iOS",,""
"seconds",,"seconden",,"None",,"All",,"Skype for Business for iOS",,""
"second",,"seconde",,"None",,"All",,"Skype for Business for iOS",,""
"d",,"d",,"None",,"All",,"Skype for Business for iOS",,""
"h",,"u",,"None",,"All",,"Skype for Business for iOS",,""
"min",,"min.",,"None",,"All",,"Skype for Business for iOS",,""
"s",,"s",,"None",,"All",,"Skype for Business for iOS",,""
"Call Ended",,"De oproep is beëindigd",,"None",,"All",,"Skype for Business for iOS",,""
"Cancel",,"Annuleren",,"None",,"All",,"Skype for Business for iOS",,""
"Add participants",,"Deelnemers toevoegen",,"None",,"All",,"Skype for Business for iOS",,""
"Your conversations will appear here",,"Uw gesprekken worden hier weergegeven",,"None",,"All",,"Skype for Business for iOS",,""
"Say hi to %@",,"Zeg gedag tegen %@",,"None",,"All",,"Skype for Business for iOS",,""
"Say hi to the group",,"Zeg gedag tegen de groep",,"None",,"All",,"Skype for Business for iOS",,""
"Type a message here",,"Typ hier een bericht",,"None",,"All",,"Skype for Business for iOS",,""
"Chat is available in Teams",,"Chat is beschikbaar in Teams",,"None",,"All",,"Skype for Business for iOS",,""
"%@, %@ and %d others are typing...",,"%@, %@ en %d anderen zijn aan het typen...",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is typing...",,"%@ is aan het typen...",,"None",,"All",,"Skype for Business for iOS",,""
"%@, %@ and one other are typing...",,"%@, %@ en iemand anders zijn aan het typen...",,"None",,"All",,"Skype for Business for iOS",,""
"%@ and %@ are typing...",,"%@ en %@ zijn aan het typen...",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn't send this message: %@",,"Het volgende bericht kan niet worden verzonden: %@",,"None",,"All",,"Skype for Business for iOS",,""
"Conference ended",,"Conferentie beëindigd",,"None",,"All",,"Skype for Business for iOS",,""
"Participants",,"Deelnemers",,"None",,"All",,"Skype for Business for iOS",,""
"Show Contact Profile",,"Contactprofiel tonen",,"None",,"All",,"Skype for Business for iOS",,""
"Send message",,"Bericht verzenden",,"None",,"All",,"Skype for Business for iOS",,""
"Incoming",,"Binnenkomend",,"None",,"All",,"Skype for Business for iOS",,""
"Outgoing",,"Uitgaand",,"None",,"All",,"Skype for Business for iOS",,""
"Add contact",,"Contact toevoegen",,"None",,"All",,"Skype for Business for iOS",,""
"Manage contact",,"Contact beheren",,"None",,"All",,"Skype for Business for iOS",,""
"%lu participants",,"%lu deelnemers",,"None",,"All",,"Skype for Business for iOS",,""
"Copy",,"Kopiëren",,"None",,"All",,"Skype for Business for iOS",,""
"dismiss",,"negeren",,"None",,"All",,"Skype for Business for iOS",,""
"add participants",,"deelnemers toevoegen",,"None",,"All",,"Skype for Business for iOS",,""
"Preview feedback",,"Voorbeeld van feedback",,"None",,"All",,"Skype for Business for iOS",,""
"Send email",,"E-mail verzenden",,"None",,"All",,"Skype for Business for iOS",,""
"See contact card",,"Visitekaartje weergeven",,"None",,"All",,"Skype for Business for iOS",,""
"Backspace",,"Backspace",,"None",,"All",,"Skype for Business for iOS",,""
"Show emoticons",,"Emoticons tonen",,"None",,"All",,"Skype for Business for iOS",,""
"emoticons",,"emoticons",,"None",,"All",,"Skype for Business for iOS",,""
"Emoticon: %@",,"Emoticon: %@",,"None",,"All",,"Skype for Business for iOS",,""
"Angel",,"Engel",,"None",,"All",,"Skype for Business for iOS",,""
"Angry",,"Boos",,"None",,"All",,"Skype for Business for iOS",,""
"Bandit",,"Bandiet",,"None",,"All",,"Skype for Business for iOS",,""
"Soccer",,"Voetbal",,"None",,"All",,"Skype for Business for iOS",,""
"Beer",,"Bier",,"None",,"All",,"Skype for Business for iOS",,""
"Bike",,"Fiets",,"None",,"All",,"Skype for Business for iOS",,""
"Blushing",,"Blozend",,"None",,"All",,"Skype for Business for iOS",,""
"Bowing",,"Buigen",,"None",,"All",,"Skype for Business for iOS",,""
"Broken heart",,"Gebroken hart",,"None",,"All",,"Skype for Business for iOS",,""
"Cake",,"Taart",,"None",,"All",,"Skype for Business for iOS",,""
"Call",,"Bellen",,"None",,"All",,"Skype for Business for iOS",,""
"Camera",,"Camera",,"None",,"All",,"Skype for Business for iOS",,""
"Can you talk?",,"Kun je praten?",,"None",,"All",,"Skype for Business for iOS",,""
"Car",,"Auto",,"None",,"All",,"Skype for Business for iOS",,""
"Cash",,"Cash",,"None",,"All",,"Skype for Business for iOS",,""
"Cat",,"Kat",,"None",,"All",,"Skype for Business for iOS",,""
"Clapping",,"Klappen",,"None",,"All",,"Skype for Business for iOS",,""
"Coffee",,"Koffie",,"None",,"All",,"Skype for Business for iOS",,""
"Computer",,"Computer",,"None",,"All",,"Skype for Business for iOS",,""
"Confidential",,"Vertrouwelijk",,"None",,"All",,"Skype for Business for iOS",,""
"Cool",,"Cool",,"None",,"All",,"Skype for Business for iOS",,""
"Crying",,"Huilen",,"None",,"All",,"Skype for Business for iOS",,""
"Dancing",,"Dansen",,"None",,"All",,"Skype for Business for iOS",,""
"Devil",,"Duivel",,"None",,"All",,"Skype for Business for iOS",,""
"Dog",,"Hond",,"None",,"All",,"Skype for Business for iOS",,""
"Doh",,"Doh",,"None",,"All",,"Skype for Business for iOS",,""
"Drink",,"Drinken",,"None",,"All",,"Skype for Business for iOS",,""
"Dull",,"Verveeld",,"None",,"All",,"Skype for Business for iOS",,""
"Evil",,"Gemeen",,"None",,"All",,"Skype for Business for iOS",,""
"Emo",,"Emo",,"None",,"All",,"Skype for Business for iOS",,""
"Envy",,"Jaloers",,"None",,"All",,"Skype for Business for iOS",,""
"Face palm",,"Facepalm",,"None",,"All",,"Skype for Business for iOS",,""
"Fingers crossed",,"Vingers gekruist",,"None",,"All",,"Skype for Business for iOS",,""
"Flower",,"Bloem",,"None",,"All",,"Skype for Business for iOS",,""
