PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Account",,"Account",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Available",,"Beschikbaar",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Unable to change your profile picture, please try again.",,"De profielafbeelding kan niet worden gewijzigd. Probeer het opnieuw.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Close settings",,"Instellingen sluiten",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Disable automatic Skype plugin updates",,"Automatische updates van de Skype-invoegtoepassing uitschakelen",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Display settings",,"Instellingen weergeven",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download Skype plugin",,"Skype-invoegtoepassing downloaden",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Enable automatic Skype plugin updates",,"Automatische updates van de Skype-invoegtoepassing inschakelen",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"The image type you tried to upload is not supported",,"Het afbeeldingstype dat u wilt uploaden, wordt niet ondersteund",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Not available",,"Niet beschikbaar",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Notifications off",,"Meldingen uit",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Notifications on",,"Meldingen aan",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"off",,"uitgeschakeld",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"on",,"ingeschakeld",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Automatic Skype plugin updates are",,"Automatische updates van de Skype-invoegtoepassing zijn",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Online presence set to available (notifications on)",,"Online-aanwezigheid is ingesteld op beschikbaar (meldingen aan)",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Sign out",,"Afmelden",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Upload a profile picture",,"Een profielafbeelding uploaden",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept the call using Alt + PgUp",,"Accepteer het gesprek met Alt + PgUp",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept with voice",,"Accepteren als audiogesprek",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept with voice using Alt + Page Up",,"Accepteren als audiogesprek via Alt + Page Up",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept with Video",,"Accepteren met video",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept with video using Ctrl + Alt + Page Up",,"Accepteren met video via Ctrl + Alt + Page Up",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Your guest account will expire in 10 minutes.",,"Je gastaccount verloopt over 10 minuten.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
""Select ""add to contacts"" and they'll get your request."",,"Selecteer Toevoegen aan contacten om het verzoek te verzenden.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Add Skype as a bookmark",,"Skype toevoegen als bladwijzer",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Already have an account?",,"Hebt u al een account?",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"or",,"of",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"You can call and chat with everyone here for free.",,"Hier kun je met iedereen gratis bellen en chatten.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Close",,"Sluiten",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Computer says no…",,"U hebt geen toestemming om verder te gaan.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
