CMDLINE C:\Python311\python.exe search.py
MEM 1.652344 1682950090.3539
MEM 16.109375 1682950090.4546
MEM 22.472656 1682950090.5551
MEM 26.105469 1682950090.6555
MEM 31.175781 1682950090.7559
MEM 37.355469 1682950090.8566
MEM 45.742188 1682950090.9571
MEM 55.250000 1682950091.0576
MEM 61.886719 1682950091.1580
MEM 68.542969 1682950091.2584
MEM 72.886719 1682950091.3590
MEM 76.042969 1682950091.4594
MEM 79.394531 1682950091.5598
MEM 80.640625 1682950091.6604
MEM 80.640625 1682950091.7610
MEM 80.640625 1682950091.8617
MEM 80.640625 1682950091.9621
MEM 80.640625 1682950092.0625
MEM 80.640625 1682950092.1632
MEM 80.640625 1682950092.2636
MEM 80.640625 1682950092.3638
MEM 80.640625 1682950092.4642
MEM 80.640625 1682950092.5645
MEM 80.640625 1682950092.6652
MEM 80.640625 1682950092.7658
MEM 80.640625 1682950092.8662
MEM 80.640625 1682950092.9665
MEM 80.640625 1682950093.0671
MEM 80.640625 1682950093.1677
MEM 80.640625 1682950093.2683
MEM 80.640625 1682950093.3685
MEM 80.640625 1682950093.4691
MEM 80.640625 1682950093.5695
MEM 80.640625 1682950093.6697
MEM 80.640625 1682950093.7701
MEM 80.640625 1682950093.8707
MEM 80.640625 1682950093.9713
MEM 80.640625 1682950094.0719
MEM 80.640625 1682950094.1722
MEM 80.640625 1682950094.2729
MEM 80.640625 1682950094.3736
MEM 80.640625 1682950094.4739
MEM 80.640625 1682950094.5745
MEM 80.640625 1682950094.6751
MEM 80.640625 1682950094.7754
MEM 80.640625 1682950094.8761
MEM 80.640625 1682950094.9766
MEM 80.640625 1682950095.0772
MEM 80.640625 1682950095.1778
MEM 80.640625 1682950095.2783
MEM 80.640625 1682950095.3786
MEM 80.640625 1682950095.4792
MEM 80.640625 1682950095.5796
MEM 80.640625 1682950095.6803
MEM 80.640625 1682950095.7809
MEM 80.640625 1682950095.8814
MEM 80.640625 1682950095.9820
MEM 80.640625 1682950096.0825
MEM 80.640625 1682950096.1831
MEM 80.640625 1682950096.2835
MEM 80.640625 1682950096.3838
MEM 80.640625 1682950096.4842
MEM 80.640625 1682950096.5846
MEM 80.640625 1682950096.6849
MEM 80.640625 1682950096.7853
MEM 80.640625 1682950096.8860
MEM 80.640625 1682950096.9862
MEM 80.640625 1682950097.0865
MEM 80.640625 1682950097.1871
MEM 80.640625 1682950097.2873
MEM 80.640625 1682950097.3876
MEM 80.640625 1682950097.4881
MEM 80.640625 1682950097.5885
MEM 80.640625 1682950097.6888
MEM 80.640625 1682950097.7891
MEM 80.640625 1682950097.8894
MEM 80.640625 1682950097.9900
MEM 80.640625 1682950098.0902
MEM 80.640625 1682950098.1908
MEM 80.640625 1682950098.2912
MEM 80.640625 1682950098.3915
MEM 80.640625 1682950098.4917
MEM 80.640625 1682950098.5923
MEM 80.640625 1682950098.6925
MEM 80.640625 1682950098.7931
